Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
VER,0 days 00:01:17.639000,,0 days 00:00:31.613000,0 days 00:00:25.440000,MEDIUM,1.0,,
VER,0 days 00:01:55.479000,0 days 00:00:31.698000,0 days 00:00:46.293000,0 days 00:00:37.488000,MEDIUM,2.0,,0 days 01:04:57.200000
VER,0 days 00:02:04.721000,0 days 00:00:37.877000,0 days 00:00:46.298000,0 days 00:00:40.546000,MEDIUM,3.0,0 days 01:05:13.560000,
VER,0 days 00:01:09.691000,0 days 00:00:17.618000,0 days 00:00:30.970000,0 days 00:00:21.103000,MEDIUM,4.0,,
VER,0 days 00:01:10.026000,0 days 00:00:17.716000,0 days 00:00:31.158000,0 days 00:00:21.152000,MEDIUM,5.0,,
VER,0 days 00:01:10.156000,0 days 00:00:17.681000,0 days 00:00:31.308000,0 days 00:00:21.167000,MEDIUM,6.0,,
VER,0 days 00:01:10.168000,0 days 00:00:17.733000,0 days 00:00:31.265000,0 days 00:00:21.170000,MEDIUM,7.0,,
VER,0 days 00:01:09.967000,0 days 00:00:17.679000,0 days 00:00:31.137000,0 days 00:00:21.151000,MEDIUM,8.0,,
VER,0 days 00:01:09.989000,0 days 00:00:17.590000,0 days 00:00:31.216000,0 days 00:00:21.183000,MEDIUM,9.0,,
VER,0 days 00:01:09.856000,0 days 00:00:17.605000,0 days 00:00:31.174000,0 days 00:00:21.077000,MEDIUM,10.0,,
VER,0 days 00:01:10.051000,0 days 00:00:17.643000,0 days 00:00:31.272000,0 days 00:00:21.136000,MEDIUM,11.0,,
VER,0 days 00:01:09.833000,0 days 00:00:17.591000,0 days 00:00:31.121000,0 days 00:00:21.121000,MEDIUM,12.0,,
VER,0 days 00:01:10.196000,0 days 00:00:17.669000,0 days 00:00:31.232000,0 days 00:00:21.295000,MEDIUM,13.0,,
VER,0 days 00:01:13.573000,0 days 00:00:17.650000,0 days 00:00:31.903000,0 days 00:00:24.020000,MEDIUM,14.0,,
VER,0 days 00:01:33.592000,0 days 00:00:24.171000,0 days 00:00:40.334000,0 days 00:00:29.087000,MEDIUM,15.0,,
VER,0 days 00:01:19.611000,0 days 00:00:24.619000,0 days 00:00:33.788000,0 days 00:00:21.204000,MEDIUM,16.0,,
VER,0 days 00:01:09.924000,0 days 00:00:17.653000,0 days 00:00:31.205000,0 days 00:00:21.066000,MEDIUM,17.0,,
VER,0 days 00:01:10.002000,0 days 00:00:17.681000,0 days 00:00:31.181000,0 days 00:00:21.140000,MEDIUM,18.0,,
VER,0 days 00:01:09.942000,0 days 00:00:17.622000,0 days 00:00:31.213000,0 days 00:00:21.107000,MEDIUM,19.0,,
VER,0 days 00:01:10.160000,0 days 00:00:17.672000,0 days 00:00:31.316000,0 days 00:00:21.172000,MEDIUM,20.0,,
