Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
VER,,,0 days 00:00:36.566000,0 days 00:00:24.453000,INTERMEDIATE,1.0,,
VER,0 days 00:01:18.498000,0 days 00:00:19.411000,0 days 00:00:34.676000,0 days 00:00:24.411000,INTERMEDIATE,2.0,,
VER,0 days 00:01:18.008000,0 days 00:00:19.335000,0 days 00:00:34.398000,0 days 00:00:24.275000,INTERMEDIATE,3.0,,
VER,0 days 00:01:17.427000,0 days 00:00:19.143000,0 days 00:00:34.356000,0 days 00:00:23.928000,INTERMEDIATE,4.0,,
VER,0 days 00:01:16.807000,0 days 00:00:19.078000,0 days 00:00:33.978000,0 days 00:00:23.751000,INTERMEDIATE,5.0,,
VER,0 days 00:01:16.547000,0 days 00:00:18.997000,0 days 00:00:33.714000,0 days 00:00:23.836000,INTERMEDIATE,6.0,,
VER,0 days 00:01:16.882000,0 days 00:00:18.907000,0 days 00:00:34.372000,0 days 00:00:23.603000,INTERMEDIATE,7.0,,
VER,0 days 00:01:16.028000,0 days 00:00:18.969000,0 days 00:00:33.591000,0 days 00:00:23.468000,INTERMEDIATE,8.0,,
VER,0 days 00:01:15.911000,0 days 00:00:18.953000,0 days 00:00:33.596000,0 days 00:00:23.362000,INTERMEDIATE,9.0,,
VER,0 days 00:01:15.774000,0 days 00:00:18.915000,0 days 00:00:33.599000,0 days 00:00:23.260000,INTERMEDIATE,10.0,,
VER,0 days 00:01:15.718000,0 days 00:00:18.850000,0 days 00:00:33.537000,0 days 00:00:23.331000,INTERMEDIATE,11.0,,
VER,0 days 00:01:15.396000,0 days 00:00:18.821000,0 days 00:00:33.403000,0 days 00:00:23.172000,INTERMEDIATE,12.0,,
VER,0 days 00:01:15.365000,0 days 00:00:18.786000,0 days 00:00:33.504000,0 days 00:00:23.075000,INTERMEDIATE,13.0,,
VER,0 days 00:01:15.163000,0 days 00:00:18.851000,0 days 00:00:33.622000,0 days 00:00:22.690000,INTERMEDIATE,14.0,,
VER,0 days 00:01:14.992000,0 days 00:00:18.772000,0 days 00:00:33.620000,0 days 00:00:22.600000,INTERMEDIATE,15.0,,
VER,0 days 00:01:15.223000,0 days 00:00:18.855000,0 days 00:00:33.831000,0 days 00:00:22.537000,INTERMEDIATE,16.0,,
VER,0 days 00:01:14.506000,0 days 00:00:18.689000,0 days 00:00:33.693000,0 days 00:00:22.124000,INTERMEDIATE,17.0,,
VER,0 days 00:01:14.718000,0 days 00:00:18.596000,0 days 00:00:33.711000,0 days 00:00:22.411000,INTERMEDIATE,18.0,,
VER,0 days 00:01:14.292000,0 days 00:00:18.481000,0 days 00:00:33.606000,0 days 00:00:22.205000,INTERMEDIATE,19.0,,
VER,0 days 00:01:14.426000,0 days 00:00:18.424000,0 days 00:00:33.699000,0 days 00:00:22.303000,INTERMEDIATE,20.0,,
VER,0 days 00:01:14.460000,0 days 00:00:18.425000,0 days 00:00:33.951000,0 days 00:00:22.084000,INTERMEDIATE,21.0,,
VER,0 days 00:01:14.344000,0 days 00:00:18.347000,0 days 00:00:33.933000,0 days 00:00:22.064000,INTERMEDIATE,22.0,,
VER,0 days 00:01:15.580000,0 days 00:00:18.273000,0 days 00:00:35.091000,0 days 00:00:22.216000,INTERMEDIATE,23.0,,
VER,0 days 00:01:16.025000,0 days 00:00:18.168000,0 days 00:00:34.848000,0 days 00:00:23.009000,INTERMEDIATE,24.0,,
PER,,,0 days 00:00:37.889000,0 days 00:00:25.571000,INTERMEDIATE,1.0,,
PER,0 days 00:01:19.385000,0 days 00:00:19.594000,0 days 00:00:35.204000,0 days 00:00:24.587000,INTERMEDIATE,2.0,,
PER,0 days 00:01:18.824000,0 days 00:00:19.295000,0 days 00:00:34.990000,0 days 00:00:24.539000,INTERMEDIATE,3.0,,
PER,0 days 00:01:17.908000,0 days 00:00:19.077000,0 days 00:00:34.530000,0 days 00:00:24.301000,INTERMEDIATE,4.0,,
PER,0 days 00:01:17.378000,0 days 00:00:19.170000,0 days 00:00:34.012000,0 days 00:00:24.196000,INTERMEDIATE,5.0,,
PER,0 days 00:01:17.278000,0 days 00:00:18.956000,0 days 00:00:34.169000,0 days 00:00:24.153000,INTERMEDIATE,6.0,,
PER,0 days 00:01:16.708000,0 days 00:00:18.926000,0 days 00:00:33.752000,0 days 00:00:24.030000,INTERMEDIATE,7.0,,
PER,0 days 00:01:16.857000,0 days 00:00:19.039000,0 days 00:00:33.838000,0 days 00:00:23.980000,INTERMEDIATE,8.0,,
PER,0 days 00:01:16.814000,0 days 00:00:19.098000,0 days 00:00:33.946000,0 days 00:00:23.770000,INTERMEDIATE,9.0,,
PER,0 days 00:01:16.802000,0 days 00:00:18.987000,0 days 00:00:33.808000,0 days 00:00:24.007000,INTERMEDIATE,10.0,,
PER,0 days 00:01:16.793000,0 days 00:00:18.944000,0 days 00:00:34.042000,0 days 00:00:23.807000,INTERMEDIATE,11.0,,
PER,0 days 00:01:15.927000,0 days 00:00:19.173000,0 days 00:00:33.635000,0 days 00:00:23.119000,INTERMEDIATE,12.0,,
PER,0 days 00:01:15.649000,0 days 00:00:18.777000,0 days 00:00:33.491000,0 days 00:00:23.381000,INTERMEDIATE,13.0,,
