driver,team,qualifying_position,Q1_time,Q2_time,Q3_time
VER,Red Bull Racing,1.0,0 days 00:01:06.236000,0 days 00:01:05.371000,0 days 00:01:04.440000
PER,Red Bull Racing,2.0,0 days 00:01:06.924000,0 days 00:01:05.836000,0 days 00:01:04.933000
NOR,McLaren,3.0,0 days 00:01:06.723000,0 days 00:01:05.699000,0 days 00:01:05.010000
HUL,Haas F1 Team,4.0,0 days 00:01:06.548000,0 days 00:01:06.091000,0 days 00:01:05.084000
SAI,Ferrari,5.0,0 days 00:01:06.187000,0 days 00:01:05.434000,0 days 00:01:05.136000
LEC,Ferrari,6.0,0 days 00:01:07.061000,0 days 00:01:05.673000,0 days 00:01:05.245000
ALO,Aston Martin,7.0,0 days 00:01:06.611000,0 days 00:01:05.759000,0 days 00:01:05.258000
STR,Aston Martin,8.0,0 days 00:01:06.569000,0 days 00:01:05.914000,0 days 00:01:05.347000
OCO,Alpine,9.0,0 days 00:01:06.840000,0 days 00:01:05.604000,0 days 00:01:05.366000
MAG,Haas F1 Team,10.0,0 days 00:01:06.629000,0 days 00:01:05.730000,0 days 00:01:05.912000
ALB,Williams,11.0,0 days 00:01:06.892000,0 days 00:01:06.152000,
GAS,Alpine,12.0,0 days 00:01:06.873000,0 days 00:01:06.360000,
TSU,AlphaTauri,13.0,0 days 00:01:06.896000,0 days 00:01:06.369000,
DEV,AlphaTauri,14.0,0 days 00:01:06.704000,0 days 00:01:06.593000,
RUS,Mercedes,15.0,0 days 00:01:06.653000,,
ZHO,Alfa Romeo,16.0,0 days 00:01:07.062000,,
PIA,McLaren,17.0,0 days 00:01:07.106000,,
HAM,Mercedes,18.0,0 days 00:01:07.282000,,
BOT,Alfa Romeo,19.0,0 days 00:01:07.291000,,
SAR,Williams,20.0,0 days 00:01:07.426000,,
