Driver,Stint,Compound,LapStartTime,TyreLife
VER,1.0,MEDIUM,0 days 01:01:47.219000,1.0
VER,1.0,MEDIUM,0 days 01:03:05.095000,2.0
VER,2.0,MEDIUM,0 days 01:05:00.574000,3.0
VER,2.0,MEDIUM,0 days 01:07:05.295000,4.0
VER,2.0,MEDIUM,0 days 01:08:14.986000,5.0
VER,2.0,MEDIUM,0 days 01:09:25.012000,6.0
VER,2.0,MEDIUM,0 days 01:10:35.168000,7.0
VER,2.0,MEDIUM,0 days 01:11:45.336000,8.0
VER,2.0,MEDIUM,0 days 01:12:55.303000,9.0
VER,2.0,MEDIUM,0 days 01:14:05.292000,10.0
VER,2.0,MEDIUM,0 days 01:15:15.148000,11.0
VER,2.0,MEDIUM,0 days 01:16:25.199000,12.0
VER,2.0,MEDIUM,0 days 01:17:35.032000,13.0
VER,2.0,MEDIUM,0 days 01:18:45.228000,14.0
VER,2.0,MEDIUM,0 days 01:19:58.801000,15.0
VER,2.0,MEDIUM,0 days 01:21:32.393000,16.0
VER,2.0,MEDIUM,0 days 01:22:52.004000,17.0
VER,2.0,MEDIUM,0 days 01:24:01.928000,18.0
VER,2.0,MEDIUM,0 days 01:25:11.930000,19.0
VER,2.0,MEDIUM,0 days 01:26:21.872000,20.0
VER,2.0,MEDIUM,0 days 01:27:32.032000,21.0
VER,2.0,MEDIUM,0 days 01:28:42.174000,22.0
VER,2.0,MEDIUM,0 days 01:29:52.511000,23.0
VER,2.0,MEDIUM,0 days 01:31:02.907000,24.0
VER,3.0,HARD,0 days 01:32:16.426000,1.0
VER,3.0,HARD,0 days 01:33:43.195000,2.0
VER,3.0,HARD,0 days 01:34:52.124000,3.0
VER,3.0,HARD,0 days 01:36:01.369000,4.0
VER,3.0,HARD,0 days 01:37:10.620000,5.0
VER,3.0,HARD,0 days 01:38:19.909000,6.0
VER,3.0,HARD,0 days 01:39:29.282000,7.0
VER,3.0,HARD,0 days 01:40:38.858000,8.0
VER,3.0,HARD,0 days 01:41:48.461000,9.0
VER,3.0,HARD,0 days 01:42:58.092000,10.0
VER,3.0,HARD,0 days 01:44:07.871000,11.0
VER,3.0,HARD,0 days 01:45:17.136000,12.0
VER,3.0,HARD,0 days 01:46:26.503000,13.0
VER,3.0,HARD,0 days 01:47:36.210000,14.0
VER,3.0,HARD,0 days 01:48:45.778000,15.0
VER,3.0,HARD,0 days 01:49:55.164000,16.0
VER,3.0,HARD,0 days 01:51:04.595000,17.0
VER,3.0,HARD,0 days 01:52:14.122000,18.0
VER,3.0,HARD,0 days 01:53:23.633000,19.0
VER,3.0,HARD,0 days 01:54:33.225000,20.0
VER,3.0,HARD,0 days 01:55:42.903000,21.0
VER,3.0,HARD,0 days 01:56:52.554000,22.0
VER,3.0,HARD,0 days 01:58:02.117000,23.0
VER,3.0,HARD,0 days 01:59:11.568000,24.0
VER,3.0,HARD,0 days 02:00:20.987000,25.0
VER,4.0,MEDIUM,0 days 02:01:34.163000,1.0
VER,4.0,MEDIUM,0 days 02:03:00.431000,2.0
VER,4.0,MEDIUM,0 days 02:04:08.581000,3.0
VER,4.0,MEDIUM,0 days 02:05:16.923000,4.0
VER,4.0,MEDIUM,0 days 02:06:25.158000,5.0
VER,4.0,MEDIUM,0 days 02:07:33.408000,6.0
VER,4.0,MEDIUM,0 days 02:08:41.681000,7.0
VER,4.0,MEDIUM,0 days 02:09:50.031000,8.0
VER,4.0,MEDIUM,0 days 02:10:58.443000,9.0
VER,4.0,MEDIUM,0 days 02:12:06.932000,10.0
VER,4.0,MEDIUM,0 days 02:13:15.541000,11.0
VER,4.0,MEDIUM,0 days 02:14:24.076000,12.0
VER,4.0,MEDIUM,0 days 02:15:32.561000,13.0
VER,4.0,MEDIUM,0 days 02:16:41.128000,14.0
VER,4.0,MEDIUM,0 days 02:17:49.752000,15.0
VER,4.0,MEDIUM,0 days 02:18:58.444000,16.0
VER,4.0,MEDIUM,0 days 02:20:07.322000,17.0
VER,4.0,MEDIUM,0 days 02:21:15.923000,18.0
VER,4.0,MEDIUM,0 days 02:22:24.777000,19.0
VER,4.0,MEDIUM,0 days 02:23:33.993000,20.0
VER,5.0,SOFT,0 days 02:24:46.221000,4.0
VER,5.0,SOFT,0 days 02:26:14.051000,5.0
GAS,1.0,MEDIUM,0 days 01:01:47.219000,1.0
GAS,1.0,MEDIUM,0 days 01:03:19.825000,2.0
GAS,2.0,MEDIUM,0 days 01:05:15.544000,3.0
GAS,2.0,MEDIUM,0 days 01:07:08.628000,4.0
GAS,2.0,MEDIUM,0 days 01:08:20.881000,5.0
GAS,2.0,MEDIUM,0 days 01:09:32.717000,6.0
GAS,2.0,MEDIUM,0 days 01:10:43.930000,7.0
GAS,2.0,MEDIUM,0 days 01:11:55.022000,8.0
GAS,2.0,MEDIUM,0 days 01:13:06.660000,9.0
GAS,2.0,MEDIUM,0 days 01:14:17.950000,10.0
GAS,2.0,MEDIUM,0 days 01:15:29.105000,11.0
GAS,2.0,MEDIUM,0 days 01:16:39.988000,12.0
GAS,2.0,MEDIUM,0 days 01:17:51.244000,13.0
GAS,2.0,MEDIUM,0 days 01:19:02.354000,14.0
GAS,3.0,HARD,0 days 01:20:22.988000,1.0
GAS,3.0,HARD,0 days 01:22:10.576000,2.0
GAS,3.0,HARD,0 days 01:23:23.964000,3.0
GAS,3.0,HARD,0 days 01:24:34.552000,4.0
GAS,3.0,HARD,0 days 01:25:44.580000,5.0
GAS,3.0,HARD,0 days 01:26:55.310000,6.0
GAS,3.0,HARD,0 days 01:28:05.798000,7.0
GAS,3.0,HARD,0 days 01:29:16.177000,8.0
GAS,3.0,HARD,0 days 01:30:26.715000,9.0
GAS,3.0,HARD,0 days 01:31:37.307000,10.0
GAS,3.0,HARD,0 days 01:32:47.652000,11.0
GAS,3.0,HARD,0 days 01:33:58.193000,12.0
GAS,3.0,HARD,0 days 01:35:08.855000,13.0
GAS,3.0,HARD,0 days 01:36:19.504000,14.0
GAS,3.0,HARD,0 days 01:37:30.174000,15.0
GAS,3.0,HARD,0 days 01:38:41.362000,16.0
GAS,3.0,HARD,0 days 01:39:52.310000,17.0
GAS,3.0,HARD,0 days 01:41:03.065000,18.0
GAS,3.0,HARD,0 days 01:42:14.221000,19.0
GAS,3.0,HARD,0 days 01:43:25.064000,20.0
GAS,3.0,HARD,0 days 01:44:36.757000,21.0
GAS,3.0,HARD,0 days 01:45:47.831000,22.0
GAS,3.0,HARD,0 days 01:46:58.973000,23.0
GAS,3.0,HARD,0 days 01:48:10.187000,24.0
GAS,3.0,HARD,0 days 01:49:21.335000,25.0
GAS,3.0,HARD,0 days 01:50:32.467000,26.0
GAS,3.0,HARD,0 days 01:51:43.579000,27.0
GAS,3.0,HARD,0 days 01:52:54.623000,28.0
GAS,3.0,HARD,0 days 01:54:06.583000,29.0
GAS,3.0,HARD,0 days 01:55:17.699000,30.0
GAS,4.0,MEDIUM,0 days 01:56:33.267000,1.0
GAS,4.0,MEDIUM,0 days 01:58:06.477000,2.0
GAS,4.0,MEDIUM,0 days 01:59:15.634000,3.0
GAS,4.0,MEDIUM,0 days 02:00:24.875000,4.0
GAS,4.0,MEDIUM,0 days 02:01:33.921000,5.0
GAS,4.0,MEDIUM,0 days 02:02:43.056000,6.0
GAS,4.0,MEDIUM,0 days 02:03:52.369000,7.0
GAS,4.0,MEDIUM,0 days 02:05:01.734000,8.0
GAS,4.0,MEDIUM,0 days 02:06:11.035000,9.0
GAS,4.0,MEDIUM,0 days 02:07:20.324000,10.0
GAS,4.0,MEDIUM,0 days 02:08:29.715000,11.0
GAS,4.0,MEDIUM,0 days 02:09:39.216000,12.0
GAS,4.0,MEDIUM,0 days 02:10:48.653000,13.0
GAS,4.0,MEDIUM,0 days 02:11:58.160000,14.0
GAS,4.0,MEDIUM,0 days 02:13:07.891000,15.0
GAS,4.0,MEDIUM,0 days 02:14:17.510000,16.0
GAS,4.0,MEDIUM,0 days 02:15:27.063000,17.0
GAS,4.0,MEDIUM,0 days 02:16:36.779000,18.0
GAS,4.0,MEDIUM,0 days 02:17:46.687000,19.0
GAS,4.0,MEDIUM,0 days 02:18:56.604000,20.0
GAS,4.0,MEDIUM,0 days 02:20:06.779000,21.0
GAS,4.0,MEDIUM,0 days 02:21:17.675000,22.0
GAS,4.0,MEDIUM,0 days 02:22:27.786000,23.0
GAS,4.0,MEDIUM,0 days 02:23:37.751000,24.0
GAS,4.0,MEDIUM,0 days 02:24:48.432000,25.0
GAS,4.0,MEDIUM,0 days 02:25:58.605000,26.0
GAS,4.0,MEDIUM,0 days 02:27:08.386000,27.0
PER,1.0,MEDIUM,0 days 01:01:47.219000,1.0
PER,1.0,MEDIUM,0 days 01:03:24.631000,2.0
PER,2.0,MEDIUM,0 days 01:05:24.177000,3.0
PER,2.0,MEDIUM,0 days 01:07:10.204000,4.0
PER,2.0,MEDIUM,0 days 01:08:22.580000,5.0
PER,2.0,MEDIUM,0 days 01:09:34.137000,6.0
PER,2.0,MEDIUM,0 days 01:10:45.597000,7.0
PER,2.0,MEDIUM,0 days 01:11:56.766000,8.0
PER,2.0,MEDIUM,0 days 01:13:08.025000,9.0
PER,2.0,MEDIUM,0 days 01:14:19.585000,10.0
PER,2.0,MEDIUM,0 days 01:15:30.585000,11.0
PER,2.0,MEDIUM,0 days 01:16:42.111000,12.0
