Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
VER,0 days 00:01:50.456000,,0 days 00:00:43.217000,0 days 00:00:25.646000,MEDIUM,1.0,,
VER,0 days 00:01:47.707000,0 days 00:00:38.431000,0 days 00:00:43.642000,0 days 00:00:25.634000,MEDIUM,2.0,,
VER,0 days 00:01:47.677000,0 days 00:00:38.493000,0 days 00:00:43.718000,0 days 00:00:25.466000,MEDIUM,3.0,,
VER,0 days 00:01:47.108000,0 days 00:00:37.933000,0 days 00:00:43.372000,0 days 00:00:25.803000,MEDIUM,4.0,,
VER,0 days 00:01:47.476000,0 days 00:00:38.284000,0 days 00:00:43.414000,0 days 00:00:25.778000,MEDIUM,5.0,,
VER,0 days 00:01:47.202000,0 days 00:00:38.262000,0 days 00:00:43.240000,0 days 00:00:25.700000,MEDIUM,6.0,,
VER,0 days 00:01:46.995000,0 days 00:00:38.268000,0 days 00:00:43.032000,0 days 00:00:25.695000,MEDIUM,7.0,,
VER,0 days 00:01:46.801000,0 days 00:00:38.038000,0 days 00:00:43.034000,0 days 00:00:25.729000,MEDIUM,8.0,,
VER,0 days 00:01:46.944000,0 days 00:00:37.979000,0 days 00:00:43.119000,0 days 00:00:25.846000,MEDIUM,9.0,,
VER,0 days 00:01:50.778000,0 days 00:00:37.936000,0 days 00:00:43.428000,0 days 00:00:29.414000,MEDIUM,10.0,,0 days 01:20:59.833000
VER,,0 days 00:01:06.403000,0 days 00:00:58.029000,0 days 00:00:38.926000,HARD,1.0,0 days 01:21:20.582000,
VER,,0 days 00:00:53.777000,0 days 00:01:02.060000,0 days 00:00:38.416000,HARD,2.0,,
VER,,0 days 00:00:56.452000,0 days 00:01:05.618000,0 days 00:00:42.153000,HARD,3.0,,
VER,0 days 00:01:46.936000,0 days 00:00:38.813000,0 days 00:00:42.577000,0 days 00:00:25.546000,HARD,4.0,,
VER,0 days 00:01:45.687000,0 days 00:00:37.680000,0 days 00:00:42.565000,0 days 00:00:25.442000,HARD,5.0,,
VER,0 days 00:01:45.497000,0 days 00:00:37.640000,0 days 00:00:42.482000,0 days 00:00:25.375000,HARD,6.0,,
VER,0 days 00:01:45.498000,0 days 00:00:37.613000,0 days 00:00:42.512000,0 days 00:00:25.373000,HARD,7.0,,
VER,0 days 00:01:45.425000,0 days 00:00:37.403000,0 days 00:00:42.605000,0 days 00:00:25.417000,HARD,8.0,,
VER,0 days 00:01:45.660000,0 days 00:00:37.513000,0 days 00:00:42.638000,0 days 00:00:25.509000,HARD,9.0,,
VER,0 days 00:01:45.446000,0 days 00:00:37.256000,0 days 00:00:42.789000,0 days 00:00:25.401000,HARD,10.0,,
VER,0 days 00:01:45.793000,0 days 00:00:37.631000,0 days 00:00:42.759000,0 days 00:00:25.403000,HARD,11.0,,
VER,0 days 00:01:45.670000,0 days 00:00:37.564000,0 days 00:00:42.666000,0 days 00:00:25.440000,HARD,12.0,,
VER,0 days 00:01:45.902000,0 days 00:00:37.754000,0 days 00:00:42.708000,0 days 00:00:25.440000,HARD,13.0,,
VER,0 days 00:01:45.738000,0 days 00:00:37.626000,0 days 00:00:42.742000,0 days 00:00:25.370000,HARD,14.0,,
VER,0 days 00:01:45.657000,0 days 00:00:37.575000,0 days 00:00:42.763000,0 days 00:00:25.319000,HARD,15.0,,
VER,0 days 00:01:45.855000,0 days 00:00:37.711000,0 days 00:00:42.747000,0 days 00:00:25.397000,HARD,16.0,,
VER,0 days 00:01:45.625000,0 days 00:00:37.442000,0 days 00:00:42.683000,0 days 00:00:25.500000,HARD,17.0,,
VER,0 days 00:01:45.694000,0 days 00:00:37.530000,0 days 00:00:42.713000,0 days 00:00:25.451000,HARD,18.0,,
VER,0 days 00:01:46.365000,0 days 00:00:38.141000,0 days 00:00:42.744000,0 days 00:00:25.480000,HARD,19.0,,
VER,0 days 00:01:45.575000,0 days 00:00:37.441000,0 days 00:00:42.741000,0 days 00:00:25.393000,HARD,20.0,,
VER,0 days 00:01:45.348000,0 days 00:00:37.375000,0 days 00:00:42.564000,0 days 00:00:25.409000,HARD,21.0,,
VER,0 days 00:01:45.354000,0 days 00:00:37.271000,0 days 00:00:42.663000,0 days 00:00:25.420000,HARD,22.0,,
VER,0 days 00:01:45.343000,0 days 00:00:37.317000,0 days 00:00:42.665000,0 days 00:00:25.361000,HARD,23.0,,
VER,0 days 00:01:45.218000,0 days 00:00:37.239000,0 days 00:00:42.604000,0 days 00:00:25.375000,HARD,24.0,,
VER,0 days 00:01:45.121000,0 days 00:00:37.267000,0 days 00:00:42.536000,0 days 00:00:25.318000,HARD,25.0,,
VER,0 days 00:01:45.050000,0 days 00:00:37.268000,0 days 00:00:42.503000,0 days 00:00:25.279000,HARD,26.0,,
VER,0 days 00:01:45.319000,0 days 00:00:37.181000,0 days 00:00:42.761000,0 days 00:00:25.377000,HARD,27.0,,
VER,0 days 00:01:45.474000,0 days 00:00:37.390000,0 days 00:00:42.774000,0 days 00:00:25.310000,HARD,28.0,,
VER,0 days 00:01:45.150000,0 days 00:00:37.354000,0 days 00:00:42.465000,0 days 00:00:25.331000,HARD,29.0,,
VER,0 days 00:01:45.418000,0 days 00:00:37.359000,0 days 00:00:42.732000,0 days 00:00:25.327000,HARD,30.0,,
VER,0 days 00:01:45.123000,0 days 00:00:37.209000,0 days 00:00:42.620000,0 days 00:00:25.294000,HARD,31.0,,
VER,0 days 00:01:45.150000,0 days 00:00:37.147000,0 days 00:00:42.711000,0 days 00:00:25.292000,HARD,32.0,,
VER,0 days 00:01:44.843000,0 days 00:00:37.179000,0 days 00:00:42.645000,0 days 00:00:25.019000,HARD,33.0,,
VER,0 days 00:01:45.275000,0 days 00:00:37.113000,0 days 00:00:42.833000,0 days 00:00:25.329000,HARD,34.0,,
VER,0 days 00:01:45.140000,0 days 00:00:37.183000,0 days 00:00:42.639000,0 days 00:00:25.318000,HARD,35.0,,
VER,0 days 00:01:44.686000,0 days 00:00:37.027000,0 days 00:00:42.452000,0 days 00:00:25.207000,HARD,36.0,,
VER,0 days 00:01:44.734000,0 days 00:00:37.061000,0 days 00:00:42.383000,0 days 00:00:25.290000,HARD,37.0,,
VER,0 days 00:01:44.566000,0 days 00:00:36.952000,0 days 00:00:42.395000,0 days 00:00:25.219000,HARD,38.0,,
