driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
PER,Red Bull Racing,3.0,1.0,25.0,Finished,,
VER,Red Bull Racing,2.0,2.0,18.0,Finished,,
LEC,Ferrari,1.0,3.0,15.0,Finished,,
ALO,Aston Martin,6.0,4.0,12.0,Finished,,
SAI,Ferrari,4.0,5.0,10.0,Finished,,
HAM,Mercedes,5.0,6.0,8.0,Finished,,
STR,Aston Martin,9.0,7.0,6.0,Finished,,
RUS,Mercedes,11.0,8.0,5.0,Finished,,
NOR,McLaren,7.0,9.0,2.0,Finished,,
TSU,AlphaTauri,8.0,10.0,1.0,Finished,,
PIA,McLaren,10.0,11.0,0.0,Finished,,
ALB,Williams,12.0,12.0,0.0,Finished,,
MAG,Haas F1 Team,16.0,13.0,0.0,Finished,,
GAS,Alpine,17.0,14.0,0.0,Finished,,
OCO,Alpine,19.0,15.0,0.0,Finished,,
SAR,Williams,14.0,16.0,0.0,Finished,,
HUL,Haas F1 Team,20.0,17.0,0.0,Lapped,,
BOT,Alfa Romeo,13.0,18.0,0.0,Lapped,,
ZHO,Alfa Romeo,15.0,19.0,0.0,Retired,,
DEV,AlphaTauri,18.0,20.0,0.0,Retired,,
