Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
PER,,,0 days 00:00:42.926000,0 days 00:00:25.208000,MEDIUM,5.0,,
PER,0 days 00:02:10.038000,0 days 00:00:38.165000,0 days 00:00:57.443000,0 days 00:00:34.430000,MEDIUM,6.0,,
PER,,0 days 00:00:54.004000,0 days 00:01:00.007000,0 days 00:00:38.427000,MEDIUM,7.0,,
PER,,0 days 00:01:01.476000,0 days 00:01:11.355000,0 days 00:00:37.873000,MEDIUM,8.0,,
PER,,0 days 00:00:54.940000,0 days 00:01:00.829000,0 days 00:01:07.920000,MEDIUM,9.0,,
PER,0 days 00:01:45.254000,0 days 00:00:38.019000,0 days 00:00:42.171000,0 days 00:00:25.064000,MEDIUM,10.0,,
PER,0 days 00:01:44.488000,0 days 00:00:37.457000,0 days 00:00:42.184000,0 days 00:00:24.847000,MEDIUM,11.0,,
PER,0 days 00:01:44.672000,0 days 00:00:37.464000,0 days 00:00:42,0 days 00:00:25.208000,MEDIUM,12.0,,
PER,0 days 00:01:43.932000,0 days 00:00:37.109000,0 days 00:00:41.673000,0 days 00:00:25.150000,MEDIUM,13.0,,
PER,0 days 00:01:43.769000,0 days 00:00:36.794000,0 days 00:00:41.743000,0 days 00:00:25.232000,MEDIUM,14.0,,
PER,0 days 00:01:43.616000,0 days 00:00:36.867000,0 days 00:00:41.584000,0 days 00:00:25.165000,MEDIUM,15.0,,
PER,0 days 00:01:43.939000,0 days 00:00:36.909000,0 days 00:00:41.890000,0 days 00:00:25.140000,MEDIUM,16.0,,
PER,0 days 00:01:43.763000,0 days 00:00:36.754000,0 days 00:00:41.849000,0 days 00:00:25.160000,MEDIUM,17.0,,
PER,0 days 00:01:43.845000,0 days 00:00:36.866000,0 days 00:00:41.799000,0 days 00:00:25.180000,MEDIUM,18.0,,
PER,0 days 00:01:43.844000,0 days 00:00:36.900000,0 days 00:00:41.793000,0 days 00:00:25.151000,MEDIUM,19.0,,
PER,0 days 00:01:44.003000,0 days 00:00:37.007000,0 days 00:00:41.829000,0 days 00:00:25.167000,MEDIUM,20.0,,
PER,0 days 00:01:46.075000,0 days 00:00:37.193000,0 days 00:00:43.210000,0 days 00:00:25.672000,MEDIUM,21.0,,
LEC,,,0 days 00:00:42.709000,0 days 00:00:25.434000,MEDIUM,1.0,,
LEC,0 days 00:02:09.968000,0 days 00:00:37.820000,0 days 00:00:56.723000,0 days 00:00:35.425000,MEDIUM,2.0,,
LEC,,0 days 00:00:53.275000,0 days 00:00:59.675000,0 days 00:00:37.875000,MEDIUM,3.0,,
LEC,,0 days 00:01:03.015000,0 days 00:01:11.078000,0 days 00:00:37.710000,MEDIUM,4.0,,
LEC,,0 days 00:00:55.152000,0 days 00:01:01.272000,0 days 00:01:08.438000,MEDIUM,5.0,,
LEC,0 days 00:01:45.217000,0 days 00:00:37.549000,0 days 00:00:42.311000,0 days 00:00:25.357000,MEDIUM,6.0,,
LEC,0 days 00:01:44.802000,0 days 00:00:37.214000,0 days 00:00:42.291000,0 days 00:00:25.297000,MEDIUM,7.0,,
LEC,0 days 00:01:45.358000,0 days 00:00:38.199000,0 days 00:00:42.201000,0 days 00:00:24.958000,MEDIUM,8.0,,
LEC,0 days 00:01:44.274000,0 days 00:00:37.204000,0 days 00:00:42.011000,0 days 00:00:25.059000,MEDIUM,9.0,,
LEC,0 days 00:01:43.831000,0 days 00:00:36.730000,0 days 00:00:42.080000,0 days 00:00:25.021000,MEDIUM,10.0,,
LEC,0 days 00:01:43.682000,0 days 00:00:36.852000,0 days 00:00:41.864000,0 days 00:00:24.966000,MEDIUM,11.0,,
LEC,0 days 00:01:43.646000,0 days 00:00:36.726000,0 days 00:00:42.003000,0 days 00:00:24.917000,MEDIUM,12.0,,
LEC,0 days 00:01:44.277000,0 days 00:00:36.878000,0 days 00:00:42.315000,0 days 00:00:25.084000,MEDIUM,13.0,,
LEC,0 days 00:01:44.684000,0 days 00:00:37.161000,0 days 00:00:42.424000,0 days 00:00:25.099000,MEDIUM,14.0,,
LEC,0 days 00:01:45,0 days 00:00:37.223000,0 days 00:00:42.623000,0 days 00:00:25.154000,MEDIUM,15.0,,
LEC,0 days 00:01:45.515000,0 days 00:00:37.401000,0 days 00:00:42.856000,0 days 00:00:25.258000,MEDIUM,16.0,,
LEC,0 days 00:01:45.759000,0 days 00:00:37.464000,0 days 00:00:42.908000,0 days 00:00:25.387000,MEDIUM,17.0,,
VER,,,0 days 00:00:43.530000,0 days 00:00:25.195000,MEDIUM,4.0,,
VER,0 days 00:02:11.009000,0 days 00:00:38.344000,0 days 00:00:58.601000,0 days 00:00:34.064000,MEDIUM,5.0,,
VER,,0 days 00:00:52.754000,0 days 00:01:02.344000,0 days 00:00:36.048000,MEDIUM,6.0,,
VER,,0 days 00:01:00.749000,0 days 00:01:12.379000,0 days 00:00:38.749000,MEDIUM,7.0,,
VER,,0 days 00:00:53.133000,0 days 00:01:01.620000,0 days 00:01:05.322000,MEDIUM,8.0,,
VER,0 days 00:01:46.086000,0 days 00:00:38.684000,0 days 00:00:42.250000,0 days 00:00:25.152000,MEDIUM,9.0,,
VER,0 days 00:01:44.928000,0 days 00:00:37.492000,0 days 00:00:42.320000,0 days 00:00:25.116000,MEDIUM,10.0,,
VER,0 days 00:01:44.597000,0 days 00:00:37.547000,0 days 00:00:42.244000,0 days 00:00:24.806000,MEDIUM,11.0,,
VER,0 days 00:01:44.184000,0 days 00:00:37.118000,0 days 00:00:42.283000,0 days 00:00:24.783000,MEDIUM,12.0,,
VER,0 days 00:01:43.723000,0 days 00:00:36.796000,0 days 00:00:42.178000,0 days 00:00:24.749000,MEDIUM,13.0,,
VER,0 days 00:01:43.835000,0 days 00:00:36.990000,0 days 00:00:42.079000,0 days 00:00:24.766000,MEDIUM,14.0,,
VER,0 days 00:01:43.952000,0 days 00:00:36.817000,0 days 00:00:42.207000,0 days 00:00:24.928000,MEDIUM,15.0,,
VER,0 days 00:01:44.421000,0 days 00:00:37.007000,0 days 00:00:42.274000,0 days 00:00:25.140000,MEDIUM,16.0,,
VER,0 days 00:01:44.490000,0 days 00:00:37.126000,0 days 00:00:42.211000,0 days 00:00:25.153000,MEDIUM,17.0,,
VER,0 days 00:01:45.086000,0 days 00:00:37.332000,0 days 00:00:42.409000,0 days 00:00:25.345000,MEDIUM,18.0,,
VER,0 days 00:01:45.224000,0 days 00:00:37.553000,0 days 00:00:42.601000,0 days 00:00:25.070000,MEDIUM,19.0,,
VER,0 days 00:01:45.500000,0 days 00:00:37.447000,0 days 00:00:42.992000,0 days 00:00:25.061000,MEDIUM,20.0,,
RUS,,,0 days 00:00:43.001000,0 days 00:00:25.463000,MEDIUM,8.0,,
RUS,0 days 00:02:09.989000,0 days 00:00:38.280000,0 days 00:00:58.264000,0 days 00:00:33.445000,MEDIUM,9.0,,
RUS,,0 days 00:00:53.603000,0 days 00:01:02.341000,0 days 00:00:35.101000,MEDIUM,10.0,,
RUS,,0 days 00:01:01.630000,0 days 00:01:11.939000,0 days 00:00:38.502000,MEDIUM,11.0,,
RUS,,0 days 00:00:53.616000,0 days 00:01:01.710000,0 days 00:01:06.449000,MEDIUM,12.0,,
RUS,0 days 00:01:47.325000,0 days 00:00:39.309000,0 days 00:00:42.691000,0 days 00:00:25.325000,MEDIUM,13.0,,
RUS,0 days 00:01:45.065000,0 days 00:00:37.489000,0 days 00:00:42.331000,0 days 00:00:25.245000,MEDIUM,14.0,,
RUS,0 days 00:01:45.018000,0 days 00:00:37.379000,0 days 00:00:42.385000,0 days 00:00:25.254000,MEDIUM,15.0,,
RUS,0 days 00:01:44.498000,0 days 00:00:37.140000,0 days 00:00:42.149000,0 days 00:00:25.209000,MEDIUM,16.0,,
RUS,0 days 00:01:44.409000,0 days 00:00:37.053000,0 days 00:00:42.175000,0 days 00:00:25.181000,MEDIUM,17.0,,
RUS,0 days 00:01:44.500000,0 days 00:00:37.084000,0 days 00:00:42.191000,0 days 00:00:25.225000,MEDIUM,18.0,,
RUS,0 days 00:01:44.605000,0 days 00:00:37.074000,0 days 00:00:42.250000,0 days 00:00:25.281000,MEDIUM,19.0,,
RUS,0 days 00:01:44.752000,0 days 00:00:37.092000,0 days 00:00:42.360000,0 days 00:00:25.300000,MEDIUM,20.0,,
RUS,0 days 00:01:44.696000,0 days 00:00:37.187000,0 days 00:00:42.205000,0 days 00:00:25.304000,MEDIUM,21.0,,
RUS,0 days 00:01:44.610000,0 days 00:00:37.190000,0 days 00:00:42.207000,0 days 00:00:25.213000,MEDIUM,22.0,,
RUS,0 days 00:01:44.882000,0 days 00:00:37.202000,0 days 00:00:42.442000,0 days 00:00:25.238000,MEDIUM,23.0,,
RUS,0 days 00:01:45.150000,0 days 00:00:37.330000,0 days 00:00:42.574000,0 days 00:00:25.246000,MEDIUM,24.0,,
SAI,,,0 days 00:00:43.986000,0 days 00:00:25.109000,MEDIUM,1.0,,
SAI,0 days 00:02:12.283000,0 days 00:00:38.372000,0 days 00:00:59.062000,0 days 00:00:34.849000,MEDIUM,2.0,,
SAI,,0 days 00:00:51.630000,0 days 00:01:03.639000,0 days 00:00:34.760000,MEDIUM,3.0,,
SAI,,0 days 00:01:00.830000,0 days 00:01:13.392000,0 days 00:00:37.259000,MEDIUM,4.0,,
SAI,,0 days 00:00:53.623000,0 days 00:01:01.732000,0 days 00:01:04.547000,MEDIUM,5.0,,
SAI,0 days 00:01:48.124000,0 days 00:00:39.895000,0 days 00:00:42.937000,0 days 00:00:25.292000,MEDIUM,6.0,,
SAI,0 days 00:01:45.132000,0 days 00:00:37.599000,0 days 00:00:42.500000,0 days 00:00:25.033000,MEDIUM,7.0,,
SAI,0 days 00:01:44.894000,0 days 00:00:37.342000,0 days 00:00:42.597000,0 days 00:00:24.955000,MEDIUM,8.0,,
SAI,0 days 00:01:44.773000,0 days 00:00:37.273000,0 days 00:00:42.525000,0 days 00:00:24.975000,MEDIUM,9.0,,
SAI,0 days 00:01:44.453000,0 days 00:00:37.038000,0 days 00:00:42.419000,0 days 00:00:24.996000,MEDIUM,10.0,,
SAI,0 days 00:01:44.398000,0 days 00:00:37.097000,0 days 00:00:42.329000,0 days 00:00:24.972000,MEDIUM,11.0,,
SAI,0 days 00:01:44.550000,0 days 00:00:37.208000,0 days 00:00:42.356000,0 days 00:00:24.986000,MEDIUM,12.0,,
SAI,0 days 00:01:44.593000,0 days 00:00:37.218000,0 days 00:00:42.441000,0 days 00:00:24.934000,MEDIUM,13.0,,
SAI,0 days 00:01:45.047000,0 days 00:00:37.431000,0 days 00:00:42.576000,0 days 00:00:25.040000,MEDIUM,14.0,,
SAI,0 days 00:01:44.635000,0 days 00:00:37.227000,0 days 00:00:42.435000,0 days 00:00:24.973000,MEDIUM,15.0,,
SAI,0 days 00:01:44.924000,0 days 00:00:37.310000,0 days 00:00:42.596000,0 days 00:00:25.018000,MEDIUM,16.0,,
SAI,0 days 00:01:45.418000,0 days 00:00:37.534000,0 days 00:00:42.801000,0 days 00:00:25.083000,MEDIUM,17.0,,
ALO,,,0 days 00:00:44.677000,0 days 00:00:25.352000,MEDIUM,6.0,,
ALO,0 days 00:02:13.566000,0 days 00:00:38.662000,0 days 00:01:00.079000,0 days 00:00:34.825000,MEDIUM,7.0,,
ALO,0 days 00:02:29.897000,0 days 00:00:50.701000,0 days 00:01:04.652000,0 days 00:00:34.544000,MEDIUM,8.0,,
ALO,,0 days 00:01:00.862000,0 days 00:01:14.003000,0 days 00:00:37.543000,MEDIUM,9.0,,
ALO,,0 days 00:00:52.410000,0 days 00:01:02.779000,0 days 00:01:01.387000,MEDIUM,10.0,,
ALO,0 days 00:01:48.393000,0 days 00:00:39.807000,0 days 00:00:43.502000,0 days 00:00:25.084000,MEDIUM,11.0,,
ALO,0 days 00:01:45.085000,0 days 00:00:37.711000,0 days 00:00:42.503000,0 days 00:00:24.871000,MEDIUM,12.0,,
ALO,0 days 00:01:44.751000,0 days 00:00:37.377000,0 days 00:00:42.477000,0 days 00:00:24.897000,MEDIUM,13.0,,
ALO,0 days 00:01:44.939000,0 days 00:00:37.375000,0 days 00:00:42.658000,0 days 00:00:24.906000,MEDIUM,14.0,,
ALO,0 days 00:01:44.668000,0 days 00:00:37.144000,0 days 00:00:42.590000,0 days 00:00:24.934000,MEDIUM,15.0,,
ALO,0 days 00:01:44.593000,0 days 00:00:37.274000,0 days 00:00:42.405000,0 days 00:00:24.914000,MEDIUM,16.0,,
ALO,0 days 00:01:44.544000,0 days 00:00:37.246000,0 days 00:00:42.349000,0 days 00:00:24.949000,MEDIUM,17.0,,
ALO,0 days 00:01:44.789000,0 days 00:00:37.107000,0 days 00:00:42.487000,0 days 00:00:25.195000,MEDIUM,18.0,,
ALO,0 days 00:01:45.020000,0 days 00:00:37.332000,0 days 00:00:42.634000,0 days 00:00:25.054000,MEDIUM,19.0,,
ALO,0 days 00:01:44.944000,0 days 00:00:37.245000,0 days 00:00:42.662000,0 days 00:00:25.037000,MEDIUM,20.0,,
ALO,0 days 00:01:44.926000,0 days 00:00:37.304000,0 days 00:00:42.623000,0 days 00:00:24.999000,MEDIUM,21.0,,
ALO,0 days 00:01:45.007000,0 days 00:00:37.145000,0 days 00:00:42.860000,0 days 00:00:25.002000,MEDIUM,22.0,,
HAM,,,0 days 00:00:44.159000,0 days 00:00:25.315000,MEDIUM,7.0,,
HAM,0 days 00:02:13.031000,0 days 00:00:38.500000,0 days 00:00:59.998000,0 days 00:00:34.533000,MEDIUM,8.0,,
HAM,,0 days 00:00:51.464000,0 days 00:01:04.623000,0 days 00:00:34.639000,MEDIUM,9.0,,
HAM,,0 days 00:00:59.824000,0 days 00:01:14.645000,0 days 00:00:37.186000,MEDIUM,10.0,,
HAM,,0 days 00:00:52.602000,0 days 00:01:02.123000,0 days 00:01:02.940000,MEDIUM,11.0,,
HAM,0 days 00:01:49.208000,0 days 00:00:40.854000,0 days 00:00:43.322000,0 days 00:00:25.032000,MEDIUM,12.0,,
HAM,0 days 00:01:46.155000,0 days 00:00:38.354000,0 days 00:00:42.721000,0 days 00:00:25.080000,MEDIUM,13.0,,
HAM,0 days 00:01:44.601000,0 days 00:00:37.369000,0 days 00:00:42.259000,0 days 00:00:24.973000,MEDIUM,14.0,,
HAM,0 days 00:01:44.788000,0 days 00:00:37.278000,0 days 00:00:42.601000,0 days 00:00:24.909000,MEDIUM,15.0,,
HAM,0 days 00:01:44.668000,0 days 00:00:37.334000,0 days 00:00:42.425000,0 days 00:00:24.909000,MEDIUM,16.0,,
HAM,0 days 00:01:44.767000,0 days 00:00:37.304000,0 days 00:00:42.502000,0 days 00:00:24.961000,MEDIUM,17.0,,
HAM,0 days 00:01:44.954000,0 days 00:00:37.368000,0 days 00:00:42.465000,0 days 00:00:25.121000,MEDIUM,18.0,,
HAM,0 days 00:01:45.227000,0 days 00:00:37.577000,0 days 00:00:42.494000,0 days 00:00:25.156000,MEDIUM,19.0,,
HAM,0 days 00:01:45.007000,0 days 00:00:37.324000,0 days 00:00:42.601000,0 days 00:00:25.082000,MEDIUM,20.0,,
HAM,0 days 00:01:45.437000,0 days 00:00:37.556000,0 days 00:00:42.697000,0 days 00:00:25.184000,MEDIUM,21.0,,
HAM,0 days 00:01:46.352000,0 days 00:00:37.804000,0 days 00:00:42.838000,0 days 00:00:25.710000,MEDIUM,22.0,,
HAM,0 days 00:01:45.854000,0 days 00:00:37.765000,0 days 00:00:42.814000,0 days 00:00:25.275000,MEDIUM,23.0,,
STR,,,0 days 00:00:45.118000,0 days 00:00:25.250000,MEDIUM,7.0,,
STR,0 days 00:02:16.123000,0 days 00:00:39.245000,0 days 00:01:03.190000,0 days 00:00:33.688000,MEDIUM,8.0,,
STR,,0 days 00:00:50.079000,0 days 00:01:06.217000,0 days 00:00:35.216000,MEDIUM,9.0,,
STR,,0 days 00:01:00.822000,0 days 00:01:14.902000,0 days 00:00:35.546000,MEDIUM,10.0,,
STR,,0 days 00:00:50.778000,0 days 00:01:02.313000,0 days 00:00:59.498000,MEDIUM,11.0,,
STR,0 days 00:01:49.531000,0 days 00:00:40.758000,0 days 00:00:43.656000,0 days 00:00:25.117000,MEDIUM,12.0,,
STR,0 days 00:01:46.110000,0 days 00:00:38.239000,0 days 00:00:42.972000,0 days 00:00:24.899000,MEDIUM,13.0,,
STR,0 days 00:01:45.212000,0 days 00:00:37.492000,0 days 00:00:42.863000,0 days 00:00:24.857000,MEDIUM,14.0,,
STR,0 days 00:01:45.342000,0 days 00:00:37.870000,0 days 00:00:42.691000,0 days 00:00:24.781000,MEDIUM,15.0,,
STR,0 days 00:01:44.932000,0 days 00:00:37.652000,0 days 00:00:42.510000,0 days 00:00:24.770000,MEDIUM,16.0,,
STR,0 days 00:01:44.956000,0 days 00:00:37.644000,0 days 00:00:42.518000,0 days 00:00:24.794000,MEDIUM,17.0,,
STR,0 days 00:01:45.803000,0 days 00:00:37.921000,0 days 00:00:42.700000,0 days 00:00:25.182000,MEDIUM,18.0,,
STR,0 days 00:01:45.165000,0 days 00:00:37.472000,0 days 00:00:42.622000,0 days 00:00:25.071000,MEDIUM,19.0,,
STR,0 days 00:01:44.855000,0 days 00:00:37.225000,0 days 00:00:42.567000,0 days 00:00:25.063000,MEDIUM,20.0,,
STR,0 days 00:01:44.888000,0 days 00:00:37.339000,0 days 00:00:42.487000,0 days 00:00:25.062000,MEDIUM,21.0,,
STR,0 days 00:01:45.316000,0 days 00:00:37.520000,0 days 00:00:42.651000,0 days 00:00:25.145000,MEDIUM,22.0,,
