driver,team,qualifying_position,Q1_time,Q2_time,Q3_time
LEC,Ferrari,1.0,0 days 00:01:42.820000,0 days 00:01:42.500000,0 days 00:01:41.697000
PER,Red Bull Racing,2.0,0 days 00:01:43.858000,0 days 00:01:42.925000,0 days 00:01:41.844000
VER,Red Bull Racing,3.0,0 days 00:01:43.288000,0 days 00:01:42.417000,0 days 00:01:41.987000
RUS,Mercedes,4.0,0 days 00:01:43.763000,0 days 00:01:43.112000,0 days 00:01:42.252000
SAI,Ferrari,5.0,0 days 00:01:43.622000,0 days 00:01:42.909000,0 days 00:01:42.287000
HAM,Mercedes,6.0,0 days 00:01:43.561000,0 days 00:01:43.061000,0 days 00:01:42.502000
ALB,Williams,7.0,0 days 00:01:43.987000,0 days 00:01:43.376000,0 days 00:01:42.846000
ALO,Aston Martin,8.0,0 days 00:01:43.789000,0 days 00:01:42.976000,0 days 00:01:43.010000
STR,Aston Martin,9.0,0 days 00:01:43.879000,0 days 00:01:43.375000,0 days 00:01:43.064000
NOR,McLaren,10.0,0 days 00:01:43.938000,0 days 00:01:43.395000,
PIA,McLaren,11.0,0 days 00:01:44.179000,0 days 00:01:43.427000,
HUL,Haas F1 Team,12.0,0 days 00:01:44.843000,0 days 00:01:43.806000,
OCO,Alpine,13.0,0 days 00:01:44.433000,0 days 00:01:44.088000,
MAG,Haas F1 Team,14.0,0 days 00:01:44.101000,0 days 00:01:44.332000,
SAR,Williams,15.0,0 days 00:01:44.042000,,
ZHO,Alfa Romeo,16.0,0 days 00:01:45.177000,,
BOT,Alfa Romeo,17.0,0 days 00:01:45.352000,,
TSU,AlphaTauri,18.0,0 days 00:01:45.436000,,
GAS,Alpine,19.0,0 days 00:01:46.951000,,
DEV,AlphaTauri,20.0,0 days 00:01:48.180000,,
