driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
VER,Red Bull Racing,1.0,1.0,25.0,Finished,,
PER,Red Bull Racing,2.0,2.0,18.0,Finished,,
ALO,Aston Martin,5.0,3.0,15.0,Finished,,
SAI,Ferrari,4.0,4.0,12.0,Finished,,
HAM,Mercedes,7.0,5.0,10.0,Finished,,
STR,Aston Martin,8.0,6.0,8.0,Finished,,
RUS,Mercedes,6.0,7.0,6.0,Finished,,
BOT,Alfa Romeo,12.0,8.0,4.0,Finished,,
GAS,Alpine,20.0,9.0,2.0,Finished,,
ALB,Williams,15.0,10.0,1.0,Finished,,
TSU,AlphaTauri,14.0,11.0,0.0,Finished,,
SAR,Williams,16.0,12.0,0.0,Lapped,,
MAG,Haas F1 Team,17.0,13.0,0.0,Lapped,,
DEV,AlphaTauri,19.0,14.0,0.0,Lapped,,
HUL,Haas F1 Team,10.0,15.0,0.0,Lapped,,
ZHO,Alfa Romeo,13.0,16.0,0.0,Lapped,,
NOR,McLaren,11.0,17.0,0.0,Lapped,,
OCO,Alpine,9.0,18.0,0.0,Retired,,
LEC,Ferrari,3.0,19.0,0.0,Retired,,
PIA,McLaren,18.0,20.0,0.0,Retired,,
