driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
VER,Red Bull Racing,6.0,1.0,25.0,Finished,,
PER,Red Bull Racing,2.0,2.0,18.0,Finished,,
LEC,Ferrari,1.0,3.0,15.0,Finished,,
HAM,Mercedes,3.0,4.0,13.0,Finished,,
ALO,Aston Martin,9.0,5.0,10.0,Finished,,
RUS,Mercedes,8.0,6.0,8.0,Finished,,
NOR,McLaren,7.0,7.0,6.0,Finished,,
OCO,Alpine,14.0,8.0,4.0,Finished,,
STR,Aston Martin,10.0,9.0,2.0,Finished,,
TSU,AlphaTauri,11.0,10.0,1.0,Finished,,
GAS,Alpine,12.0,11.0,0.0,Finished,,
BOT,Alfa Romeo,13.0,12.0,0.0,Finished,,
ZHO,Alfa Romeo,17.0,13.0,0.0,Finished,,
ALB,Williams,15.0,14.0,0.0,Finished,,
MAG,Haas F1 Team,16.0,15.0,0.0,Finished,,
RIC,AlphaTauri,19.0,16.0,0.0,Finished,,
SAR,Williams,18.0,17.0,0.0,Finished,,
HUL,Haas F1 Team,20.0,18.0,0.0,Finished,,
SAI,Ferrari,4.0,19.0,0.0,Retired,,
PIA,McLaren,5.0,20.0,0.0,Retired,,
