🏎️ BELGIAN GRAND PRIX 2023

🏆 Race Results:
1.0. VER (Red Bull Racing) - 25.0 pts - Status: Finished
2.0. PER (Red Bull Racing) - 18.0 pts - Status: Finished
3.0. LEC (Ferrari) - 15.0 pts - Status: Finished
4.0. HAM (Mercedes) - 13.0 pts - Status: Finished
5.0. ALO (Aston Martin) - 10.0 pts - Status: Finished
6.0. RUS (Mercedes) - 8.0 pts - Status: Finished
7.0. NOR (McLaren) - 6.0 pts - Status: Finished
8.0. OCO (Alpine) - 4.0 pts - Status: Finished
9.0. STR (Aston Martin) - 2.0 pts - Status: Finished
10.0. TSU (AlphaTauri) - 1.0 pts - Status: Finished

🏁 Qualifying Top 5:
1.0. VER (Red Bull Racing) - Q3: 0 days 00:01:46.168000
2.0. LEC (Ferrari) - Q3: 0 days 00:01:46.988000
3.0. PER (Red Bull Racing) - Q3: 0 days 00:01:47.045000
4.0. HAM (Mercedes) - Q3: 0 days 00:01:47.087000
5.0. SAI (Ferrari) - Q3: 0 days 00:01:47.152000

🛞 Tire Stints:
Driver Compound  Stint
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER     SOFT    1.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   PER     SOFT    1.0
   PER     SOFT    1.0
   PER     SOFT    1.0
   PER     SOFT    1.0
   PER     SOFT    1.0
   PER     SOFT    1.0
   PER     SOFT    1.0
   PER     SOFT    1.0
   PER     SOFT    1.0
   PER     SOFT    1.0
   PER     SOFT    1.0
   PER     SOFT    1.0
   PER     SOFT    1.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER   MEDIUM    2.0
   PER     SOFT    3.0
   PER     SOFT    3.0
   PER     SOFT    3.0
   PER     SOFT    3.0
   PER     SOFT    3.0
   PER     SOFT    3.0
   PER     SOFT    3.0
   PER     SOFT    3.0
   PER     SOFT    3.0
   PER     SOFT    3.0
   PER     SOFT    3.0
   PER     SOFT    3.0
   PER     SOFT    3.0
   PER     SOFT    3.0
   PER     SOFT    3.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC     SOFT    1.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC   MEDIUM    2.0
   LEC     SOFT    3.0
   LEC     SOFT    3.0
   LEC     SOFT    3.0
   LEC     SOFT    3.0
   LEC     SOFT    3.0
   LEC     SOFT    3.0
   LEC     SOFT    3.0
   LEC     SOFT    3.0
   LEC     SOFT    3.0
   LEC     SOFT    3.0
   LEC     SOFT    3.0
   LEC     SOFT    3.0
   LEC     SOFT    3.0
   LEC     SOFT    3.0
   LEC     SOFT    3.0
   LEC     SOFT    3.0
   HAM     SOFT    1.0
   HAM     SOFT    1.0
   HAM     SOFT    1.0
   HAM     SOFT    1.0
   HAM     SOFT    1.0
   HAM     SOFT    1.0
