Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
VER,,,0 days 00:00:57.746000,0 days 00:00:37.608000,WET,1.0,,0 days 01:32:57.547000
VER,0 days 00:02:14.962000,0 days 00:00:48.579000,0 days 00:00:54.546000,0 days 00:00:31.837000,INTERMEDIATE,1.0,0 days 01:33:21.922000,
VER,0 days 00:02:05.110000,0 days 00:00:33.127000,0 days 00:00:55.370000,0 days 00:00:36.613000,INTERMEDIATE,2.0,,
VER,,0 days 00:00:50.042000,0 days 00:01:26.110000,0 days 00:00:48.526000,INTERMEDIATE,3.0,,
VER,,0 days 00:00:49.146000,0 days 00:01:23.886000,0 days 00:01:00.825000,INTERMEDIATE,4.0,,
VER,0 days 00:01:58.943000,0 days 00:00:33.167000,0 days 00:00:53.887000,0 days 00:00:31.889000,INTERMEDIATE,5.0,,
VER,0 days 00:02:00.363000,0 days 00:00:33.503000,0 days 00:00:54.865000,0 days 00:00:31.995000,INTERMEDIATE,6.0,,
VER,0 days 00:02:01.417000,0 days 00:00:33.745000,0 days 00:00:55.612000,0 days 00:00:32.060000,INTERMEDIATE,7.0,,
VER,0 days 00:02:01.588000,0 days 00:00:33.754000,0 days 00:00:55.859000,0 days 00:00:31.975000,INTERMEDIATE,8.0,,
VER,0 days 00:02:01.128000,0 days 00:00:33.661000,0 days 00:00:55.460000,0 days 00:00:32.007000,INTERMEDIATE,9.0,,
VER,0 days 00:02:01.624000,0 days 00:00:33.745000,0 days 00:00:55.401000,0 days 00:00:32.478000,INTERMEDIATE,10.0,,
GAS,,,0 days 00:00:56.892000,0 days 00:00:32.381000,INTERMEDIATE,6.0,0 days 01:31:20.064000,
GAS,0 days 00:02:02.655000,0 days 00:00:33.762000,0 days 00:00:56.623000,0 days 00:00:32.270000,INTERMEDIATE,7.0,,
GAS,0 days 00:02:10.078000,0 days 00:00:33.319000,0 days 00:00:56.962000,0 days 00:00:39.797000,INTERMEDIATE,8.0,,
GAS,,0 days 00:00:44.458000,0 days 00:01:23.327000,0 days 00:00:49.841000,INTERMEDIATE,9.0,,
GAS,,0 days 00:00:48.882000,0 days 00:01:22.989000,0 days 00:01:00.743000,INTERMEDIATE,10.0,,
