driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
VER,Red Bull Racing,1.0,1.0,8.0,Finished,,
PIA,McLaren,2.0,2.0,7.0,Finished,,
GAS,Alpine,6.0,3.0,6.0,Finished,,
SAI,Ferrari,3.0,4.0,5.0,Finished,,
LEC,Ferrari,4.0,5.0,4.0,Finished,,
NOR,McLaren,5.0,6.0,3.0,Finished,,
HAM,Mercedes,7.0,7.0,2.0,Finished,,
RUS,Mercedes,10.0,8.0,1.0,Finished,,
OCO,Alpine,9.0,9.0,0.0,Finished,,
RIC,AlphaTauri,11.0,10.0,0.0,Finished,,
STR,Aston Martin,14.0,11.0,0.0,Finished,,
ALB,Williams,12.0,12.0,0.0,Finished,,
BOT,Alfa Romeo,17.0,13.0,0.0,Finished,,
MAG,Haas F1 Team,18.0,14.0,0.0,Finished,,
ZHO,Alfa Romeo,19.0,15.0,0.0,Finished,,
SAR,Williams,13.0,16.0,0.0,Finished,,
HUL,Haas F1 Team,20.0,17.0,0.0,Finished,,
TSU,AlphaTauri,16.0,18.0,0.0,Finished,,
PER,Red Bull Racing,8.0,19.0,0.0,Collision damage,,
ALO,Aston Martin,15.0,20.0,0.0,Accident,,
