driver,team,qualifying_position,Q1_time,Q2_time,Q3_time
VER,Red Bull Racing,1.0,0 days 00:01:58.135000,0 days 00:01:55.200000,0 days 00:01:49.056000
PIA,McLaren,2.0,0 days 00:02:00.056000,0 days 00:01:56.392000,0 days 00:01:49.067000
SAI,Ferrari,3.0,0 days 00:01:59.414000,0 days 00:01:56.557000,0 days 00:01:49.081000
LEC,Ferrari,4.0,0 days 00:01:59.575000,0 days 00:01:56.265000,0 days 00:01:49.251000
NOR,McLaren,5.0,0 days 00:02:00.436000,0 days 00:01:56.828000,0 days 00:01:49.389000
GAS,Alpine,6.0,0 days 00:02:00.032000,0 days 00:01:56.137000,0 days 00:01:49.700000
HAM,Mercedes,7.0,0 days 00:01:58.939000,0 days 00:01:55.823000,0 days 00:01:49.900000
PER,Red Bull Racing,8.0,0 days 00:01:59.362000,0 days 00:01:55.878000,0 days 00:01:49.961000
OCO,Alpine,9.0,0 days 00:01:59.884000,0 days 00:01:57.051000,0 days 00:01:50.494000
RUS,Mercedes,10.0,0 days 00:02:00.475000,0 days 00:01:57.393000,0 days 00:01:55.742000
RIC,AlphaTauri,11.0,0 days 00:02:00.177000,0 days 00:01:57.687000,
ALO,Aston Martin,12.0,0 days 00:01:59.038000,,
ALB,Williams,13.0,0 days 00:01:59.198000,,
SAR,Williams,14.0,0 days 00:02:00.031000,,
STR,Aston Martin,15.0,0 days 00:02:00.460000,,
TSU,AlphaTauri,16.0,0 days 00:02:00.568000,,
BOT,Alfa Romeo,17.0,0 days 00:02:00.951000,,
MAG,Haas F1 Team,18.0,0 days 00:02:01.079000,,
ZHO,Alfa Romeo,19.0,0 days 00:02:01.430000,,
HUL,Haas F1 Team,20.0,,,
