Driver,Stint,Compound,LapStartTime,TyreLife
VER,1.0,SOFT,0 days 01:02:44.614000,1.0
VER,1.0,SOFT,0 days 01:04:40.474000,2.0
VER,1.0,SOFT,0 days 01:06:33.577000,3.0
VER,1.0,SOFT,0 days 01:08:25.854000,4.0
VER,1.0,SOFT,0 days 01:10:18.643000,5.0
VER,1.0,SOFT,0 days 01:12:11.245000,6.0
VER,1.0,SOFT,0 days 01:14:03.375000,7.0
VER,1.0,SOFT,0 days 01:15:55.790000,8.0
VER,1.0,SOFT,0 days 01:17:48.262000,9.0
VER,1.0,SOFT,0 days 01:19:40.142000,10.0
VER,1.0,SOFT,0 days 01:21:32.597000,11.0
VER,1.0,SOFT,0 days 01:23:25.210000,12.0
VER,1.0,SOFT,0 days 01:25:17.924000,13.0
VER,1.0,SOFT,0 days 01:27:10.886000,14.0
VER,2.0,MEDIUM,0 days 01:29:08.052000,1.0
VER,2.0,MEDIUM,0 days 01:31:12.038000,2.0
VER,2.0,MEDIUM,0 days 01:33:02.734000,3.0
VER,2.0,MEDIUM,0 days 01:34:52.842000,4.0
VER,2.0,MEDIUM,0 days 01:36:44.479000,5.0
VER,2.0,MEDIUM,0 days 01:38:36.435000,6.0
VER,2.0,MEDIUM,0 days 01:40:32.168000,7.0
VER,2.0,MEDIUM,0 days 01:42:27.083000,8.0
VER,2.0,MEDIUM,0 days 01:44:22.408000,9.0
VER,2.0,MEDIUM,0 days 01:46:15.313000,10.0
VER,2.0,MEDIUM,0 days 01:48:06.309000,11.0
VER,2.0,MEDIUM,0 days 01:49:57.415000,12.0
VER,2.0,MEDIUM,0 days 01:51:48.792000,13.0
VER,2.0,MEDIUM,0 days 01:53:40.264000,14.0
VER,2.0,MEDIUM,0 days 01:55:31.674000,15.0
VER,2.0,MEDIUM,0 days 01:57:23.269000,16.0
VER,3.0,SOFT,0 days 01:59:19.151000,1.0
VER,3.0,SOFT,0 days 02:01:22.736000,2.0
VER,3.0,SOFT,0 days 02:03:11.658000,3.0
VER,3.0,SOFT,0 days 02:05:02.244000,4.0
VER,3.0,SOFT,0 days 02:06:53.036000,5.0
VER,3.0,SOFT,0 days 02:08:43.444000,6.0
VER,3.0,SOFT,0 days 02:10:33.806000,7.0
VER,3.0,SOFT,0 days 02:12:24.123000,8.0
VER,3.0,SOFT,0 days 02:14:14.270000,9.0
VER,3.0,SOFT,0 days 02:16:04.383000,10.0
VER,3.0,SOFT,0 days 02:17:54.450000,11.0
VER,3.0,SOFT,0 days 02:19:44.404000,12.0
VER,3.0,SOFT,0 days 02:21:34.591000,13.0
VER,3.0,SOFT,0 days 02:23:24.686000,14.0
PER,1.0,SOFT,0 days 01:02:44.614000,1.0
PER,1.0,SOFT,0 days 01:04:38.110000,2.0
PER,1.0,SOFT,0 days 01:06:30.276000,3.0
PER,1.0,SOFT,0 days 01:08:22.429000,4.0
PER,1.0,SOFT,0 days 01:10:14.765000,5.0
PER,1.0,SOFT,0 days 01:12:07.337000,6.0
PER,1.0,SOFT,0 days 01:13:59.803000,7.0
PER,1.0,SOFT,0 days 01:15:52.323000,8.0
PER,1.0,SOFT,0 days 01:17:44.628000,9.0
PER,1.0,SOFT,0 days 01:19:37.093000,10.0
PER,1.0,SOFT,0 days 01:21:29.813000,11.0
PER,1.0,SOFT,0 days 01:23:22.457000,12.0
PER,1.0,SOFT,0 days 01:25:15.430000,13.0
PER,2.0,MEDIUM,0 days 01:27:13.062000,1.0
PER,2.0,MEDIUM,0 days 01:29:19.304000,2.0
PER,2.0,MEDIUM,0 days 01:31:10.925000,3.0
PER,2.0,MEDIUM,0 days 01:33:02.341000,4.0
PER,2.0,MEDIUM,0 days 01:34:54.516000,5.0
PER,2.0,MEDIUM,0 days 01:36:46.805000,6.0
PER,2.0,MEDIUM,0 days 01:38:40.330000,7.0
PER,2.0,MEDIUM,0 days 01:40:35.789000,8.0
PER,2.0,MEDIUM,0 days 01:42:31.237000,9.0
PER,2.0,MEDIUM,0 days 01:44:27.523000,10.0
PER,2.0,MEDIUM,0 days 01:46:20.884000,11.0
PER,2.0,MEDIUM,0 days 01:48:12.600000,12.0
PER,2.0,MEDIUM,0 days 01:50:04.292000,13.0
PER,2.0,MEDIUM,0 days 01:51:56.183000,14.0
PER,2.0,MEDIUM,0 days 01:53:48.382000,15.0
PER,2.0,MEDIUM,0 days 01:55:40.544000,16.0
PER,3.0,SOFT,0 days 01:57:37.268000,1.0
PER,3.0,SOFT,0 days 01:59:41.790000,2.0
PER,3.0,SOFT,0 days 02:01:32.098000,3.0
PER,3.0,SOFT,0 days 02:03:23.282000,4.0
PER,3.0,SOFT,0 days 02:05:14.722000,5.0
PER,3.0,SOFT,0 days 02:07:06.109000,6.0
PER,3.0,SOFT,0 days 02:08:56.936000,7.0
PER,3.0,SOFT,0 days 02:10:48.018000,8.0
PER,3.0,SOFT,0 days 02:12:39.121000,9.0
PER,3.0,SOFT,0 days 02:14:30.541000,10.0
PER,3.0,SOFT,0 days 02:16:21.658000,11.0
PER,3.0,SOFT,0 days 02:18:12.976000,12.0
PER,3.0,SOFT,0 days 02:20:03.911000,13.0
PER,3.0,SOFT,0 days 02:21:55.151000,14.0
PER,3.0,SOFT,0 days 02:23:46.062000,15.0
LEC,1.0,SOFT,0 days 01:02:44.614000,1.0
LEC,1.0,SOFT,0 days 01:04:39.399000,2.0
LEC,1.0,SOFT,0 days 01:06:32.238000,3.0
LEC,1.0,SOFT,0 days 01:08:24.530000,4.0
LEC,1.0,SOFT,0 days 01:10:17.009000,5.0
LEC,1.0,SOFT,0 days 01:12:09.584000,6.0
LEC,1.0,SOFT,0 days 01:14:02.268000,7.0
LEC,1.0,SOFT,0 days 01:15:55.031000,8.0
LEC,1.0,SOFT,0 days 01:17:47.672000,9.0
LEC,1.0,SOFT,0 days 01:19:41.275000,10.0
LEC,1.0,SOFT,0 days 01:21:34.834000,11.0
LEC,1.0,SOFT,0 days 01:23:28.066000,12.0
LEC,1.0,SOFT,0 days 01:25:21.589000,13.0
LEC,2.0,MEDIUM,0 days 01:27:19.074000,1.0
LEC,2.0,MEDIUM,0 days 01:29:24.976000,2.0
LEC,2.0,MEDIUM,0 days 01:31:16.856000,3.0
LEC,2.0,MEDIUM,0 days 01:33:08.920000,4.0
LEC,2.0,MEDIUM,0 days 01:35:01.163000,5.0
LEC,2.0,MEDIUM,0 days 01:36:53.331000,6.0
LEC,2.0,MEDIUM,0 days 01:38:46.199000,7.0
LEC,2.0,MEDIUM,0 days 01:40:42.037000,8.0
LEC,2.0,MEDIUM,0 days 01:42:37.938000,9.0
LEC,2.0,MEDIUM,0 days 01:44:34.437000,10.0
LEC,2.0,MEDIUM,0 days 01:46:28.022000,11.0
LEC,2.0,MEDIUM,0 days 01:48:19.832000,12.0
LEC,2.0,MEDIUM,0 days 01:50:11.549000,13.0
LEC,2.0,MEDIUM,0 days 01:52:03.299000,14.0
LEC,2.0,MEDIUM,0 days 01:53:55.164000,15.0
LEC,3.0,SOFT,0 days 01:55:51.117000,1.0
LEC,3.0,SOFT,0 days 01:57:54.998000,2.0
LEC,3.0,SOFT,0 days 01:59:45.434000,3.0
LEC,3.0,SOFT,0 days 02:01:36.337000,4.0
LEC,3.0,SOFT,0 days 02:03:28.018000,5.0
LEC,3.0,SOFT,0 days 02:05:19.207000,6.0
LEC,3.0,SOFT,0 days 02:07:09.933000,7.0
LEC,3.0,SOFT,0 days 02:09:01.200000,8.0
LEC,3.0,SOFT,0 days 02:10:52.343000,9.0
LEC,3.0,SOFT,0 days 02:12:43.641000,10.0
LEC,3.0,SOFT,0 days 02:14:34.953000,11.0
LEC,3.0,SOFT,0 days 02:16:25.872000,12.0
LEC,3.0,SOFT,0 days 02:18:17.705000,13.0
LEC,3.0,SOFT,0 days 02:20:09.957000,14.0
LEC,3.0,SOFT,0 days 02:22:01.376000,15.0
LEC,3.0,SOFT,0 days 02:23:53.818000,16.0
HAM,1.0,SOFT,0 days 01:02:44.614000,1.0
HAM,1.0,SOFT,0 days 01:04:40.025000,2.0
HAM,1.0,SOFT,0 days 01:06:33.045000,3.0
HAM,1.0,SOFT,0 days 01:08:25.499000,4.0
HAM,1.0,SOFT,0 days 01:10:18.005000,5.0
HAM,1.0,SOFT,0 days 01:12:10.722000,6.0
HAM,1.0,SOFT,0 days 01:14:04.535000,7.0
