driver,team,qualifying_position,Q1_time,Q2_time,Q3_time
VER,Red Bull Racing,1.0,0 days 00:01:29.428000,0 days 00:01:27.702000,0 days 00:01:26.720000
NOR,McLaren,2.0,0 days 00:01:28.917000,0 days 00:01:28.042000,0 days 00:01:26.961000
PIA,McLaren,3.0,0 days 00:01:29.874000,0 days 00:01:27.845000,0 days 00:01:27.092000
LEC,Ferrari,4.0,0 days 00:01:29.143000,0 days 00:01:28.361000,0 days 00:01:27.136000
SAI,Ferrari,5.0,0 days 00:01:29.865000,0 days 00:01:28.265000,0 days 00:01:27.148000
RUS,Mercedes,6.0,0 days 00:01:29.412000,0 days 00:01:28.782000,0 days 00:01:27.155000
HAM,Mercedes,7.0,0 days 00:01:29.415000,0 days 00:01:28.545000,0 days 00:01:27.211000
ALB,Williams,8.0,0 days 00:01:29.466000,0 days 00:01:28.067000,0 days 00:01:27.530000
ALO,Aston Martin,9.0,0 days 00:01:29.949000,0 days 00:01:28.368000,0 days 00:01:27.659000
GAS,Alpine,10.0,0 days 00:01:29.533000,0 days 00:01:28.751000,0 days 00:01:27.689000
HUL,Haas F1 Team,11.0,0 days 00:01:29.603000,0 days 00:01:28.896000,
STR,Aston Martin,12.0,0 days 00:01:29.448000,0 days 00:01:28.935000,
OCO,Alpine,13.0,0 days 00:01:29.700000,0 days 00:01:28.956000,
SAR,Williams,14.0,0 days 00:01:29.873000,0 days 00:01:29.031000,
BOT,Alfa Romeo,15.0,0 days 00:01:29.798000,,
PER,Red Bull Racing,15.0,0 days 00:01:29.968000,,
TSU,AlphaTauri,16.0,0 days 00:01:30.025000,,
ZHO,Alfa Romeo,17.0,0 days 00:01:30.123000,,
DEV,AlphaTauri,18.0,0 days 00:01:30.513000,,
MAG,Haas F1 Team,19.0,0 days 00:01:32.378000,,
