🏎️ BRITISH GRAND PRIX 2023

🏆 Race Results:
1.0. VER (Red Bull Racing) - 26.0 pts - Status: Finished
2.0. NOR (McLaren) - 18.0 pts - Status: Finished
3.0. HAM (Mercedes) - 15.0 pts - Status: Finished
4.0. PIA (McLaren) - 12.0 pts - Status: Finished
5.0. RUS (Mercedes) - 10.0 pts - Status: Finished
6.0. PER (Red Bull Racing) - 8.0 pts - Status: Finished
7.0. ALO (Aston Martin) - 6.0 pts - Status: Finished
8.0. ALB (Williams) - 4.0 pts - Status: Finished
9.0. LEC (Ferrari) - 2.0 pts - Status: Finished
10.0. SAI (Ferrari) - 1.0 pts - Status: Finished

🏁 Qualifying Top 5:
1.0. VER (Red Bull Racing) - Q3: 0 days 00:01:26.720000
2.0. NOR (McLaren) - Q3: 0 days 00:01:26.961000
3.0. PIA (McLaren) - Q3: 0 days 00:01:27.092000
4.0. LEC (Ferrari) - Q3: 0 days 00:01:27.136000
5.0. SAI (Ferrari) - Q3: 0 days 00:01:27.148000

🛞 Tire Stints:
Driver Compound  Stint
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   VER     SOFT    2.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
