Driver,Stint,Compound,LapStartTime,TyreLife
VER,1.0,MEDIUM,0 days 01:02:08.731000,1.0
VER,1.0,MEDIUM,0 days 01:03:46.121000,2.0
VER,1.0,MEDIUM,0 days 01:05:19.554000,3.0
VER,1.0,MEDIUM,0 days 01:06:52.284000,4.0
VER,1.0,MEDIUM,0 days 01:08:25.064000,5.0
VER,1.0,MEDIUM,0 days 01:09:57.646000,6.0
VER,1.0,MEDIUM,0 days 01:11:30.673000,7.0
VER,1.0,MEDIUM,0 days 01:13:03.773000,8.0
VER,1.0,MEDIUM,0 days 01:14:36.657000,9.0
VER,1.0,MEDIUM,0 days 01:16:09.479000,10.0
VER,1.0,MEDIUM,0 days 01:17:42.073000,11.0
VER,1.0,MEDIUM,0 days 01:19:14.670000,12.0
VER,1.0,MEDIUM,0 days 01:20:47.357000,13.0
VER,1.0,MEDIUM,0 days 01:22:20.035000,14.0
VER,1.0,MEDIUM,0 days 01:23:53.081000,15.0
VER,1.0,MEDIUM,0 days 01:25:26.071000,16.0
VER,1.0,MEDIUM,0 days 01:26:58.879000,17.0
VER,1.0,MEDIUM,0 days 01:28:31.482000,18.0
VER,1.0,MEDIUM,0 days 01:30:03.989000,19.0
VER,1.0,MEDIUM,0 days 01:31:36.327000,20.0
VER,1.0,MEDIUM,0 days 01:33:08.622000,21.0
VER,1.0,MEDIUM,0 days 01:34:41.116000,22.0
VER,1.0,MEDIUM,0 days 01:36:13.300000,23.0
VER,1.0,MEDIUM,0 days 01:37:45.572000,24.0
VER,1.0,MEDIUM,0 days 01:39:17.922000,25.0
VER,1.0,MEDIUM,0 days 01:40:50.217000,26.0
VER,1.0,MEDIUM,0 days 01:42:22.493000,27.0
VER,1.0,MEDIUM,0 days 01:43:54.631000,28.0
VER,1.0,MEDIUM,0 days 01:45:26.846000,29.0
VER,1.0,MEDIUM,0 days 01:46:59.097000,30.0
VER,1.0,MEDIUM,0 days 01:48:31.460000,31.0
VER,1.0,MEDIUM,0 days 01:50:03.848000,32.0
VER,1.0,MEDIUM,0 days 01:51:36.058000,33.0
VER,2.0,SOFT,0 days 01:53:34.669000,4.0
VER,2.0,SOFT,0 days 01:56:33.154000,5.0
VER,2.0,SOFT,0 days 01:59:00.925000,6.0
VER,2.0,SOFT,0 days 02:01:27.470000,7.0
VER,2.0,SOFT,0 days 02:03:51.305000,8.0
VER,2.0,SOFT,0 days 02:06:12.979000,9.0
VER,2.0,SOFT,0 days 02:07:43.327000,10.0
VER,2.0,SOFT,0 days 02:09:13.874000,11.0
VER,2.0,SOFT,0 days 02:10:44.562000,12.0
VER,2.0,SOFT,0 days 02:12:14.837000,13.0
VER,2.0,SOFT,0 days 02:13:45.372000,14.0
VER,2.0,SOFT,0 days 02:15:16.020000,15.0
VER,2.0,SOFT,0 days 02:16:47.362000,16.0
VER,2.0,SOFT,0 days 02:18:18.476000,17.0
VER,2.0,SOFT,0 days 02:19:49.624000,18.0
VER,2.0,SOFT,0 days 02:21:21.024000,19.0
VER,2.0,SOFT,0 days 02:22:52.242000,20.0
VER,2.0,SOFT,0 days 02:24:23.534000,21.0
VER,2.0,SOFT,0 days 02:25:54.931000,22.0
GAS,1.0,MEDIUM,0 days 01:02:08.731000,1.0
GAS,1.0,MEDIUM,0 days 01:03:49.968000,2.0
GAS,1.0,MEDIUM,0 days 01:05:24.674000,3.0
GAS,1.0,MEDIUM,0 days 01:06:58.279000,4.0
GAS,1.0,MEDIUM,0 days 01:08:31.628000,5.0
GAS,1.0,MEDIUM,0 days 01:10:05.491000,6.0
GAS,1.0,MEDIUM,0 days 01:11:39.634000,7.0
GAS,1.0,MEDIUM,0 days 01:13:14.033000,8.0
GAS,1.0,MEDIUM,0 days 01:14:47.938000,9.0
GAS,1.0,MEDIUM,0 days 01:16:21.530000,10.0
GAS,1.0,MEDIUM,0 days 01:17:55.385000,11.0
GAS,1.0,MEDIUM,0 days 01:19:29.221000,12.0
GAS,1.0,MEDIUM,0 days 01:21:02.926000,13.0
GAS,1.0,MEDIUM,0 days 01:22:36.609000,14.0
GAS,1.0,MEDIUM,0 days 01:24:10.452000,15.0
GAS,1.0,MEDIUM,0 days 01:25:44.221000,16.0
GAS,1.0,MEDIUM,0 days 01:27:17.756000,17.0
GAS,1.0,MEDIUM,0 days 01:28:50.894000,18.0
GAS,1.0,MEDIUM,0 days 01:30:24.185000,19.0
GAS,1.0,MEDIUM,0 days 01:31:57.384000,20.0
GAS,1.0,MEDIUM,0 days 01:33:30.632000,21.0
GAS,1.0,MEDIUM,0 days 01:35:03.730000,22.0
GAS,1.0,MEDIUM,0 days 01:36:36.898000,23.0
GAS,1.0,MEDIUM,0 days 01:38:09.744000,24.0
GAS,1.0,MEDIUM,0 days 01:39:42.908000,25.0
GAS,1.0,MEDIUM,0 days 01:41:16.006000,26.0
GAS,1.0,MEDIUM,0 days 01:42:49.249000,27.0
GAS,1.0,MEDIUM,0 days 01:44:22.237000,28.0
GAS,1.0,MEDIUM,0 days 01:45:55.492000,29.0
GAS,1.0,MEDIUM,0 days 01:47:28.775000,30.0
GAS,1.0,MEDIUM,0 days 01:49:02.074000,31.0
GAS,2.0,SOFT,0 days 01:50:35.465000,4.0
GAS,2.0,SOFT,0 days 01:52:42.269000,5.0
GAS,2.0,SOFT,0 days 01:54:51.242000,6.0
GAS,2.0,SOFT,0 days 01:56:56.958000,7.0
GAS,2.0,SOFT,0 days 01:59:14.460000,8.0
GAS,2.0,SOFT,0 days 02:01:38.467000,9.0
GAS,2.0,SOFT,0 days 02:04:04.284000,10.0
GAS,2.0,SOFT,0 days 02:06:18.218000,11.0
GAS,2.0,SOFT,0 days 02:07:51.198000,12.0
GAS,2.0,SOFT,0 days 02:09:24.021000,13.0
GAS,2.0,SOFT,0 days 02:10:55.848000,14.0
GAS,2.0,SOFT,0 days 02:12:27.387000,15.0
GAS,2.0,SOFT,0 days 02:13:59.035000,16.0
GAS,2.0,SOFT,0 days 02:15:31.897000,17.0
GAS,2.0,SOFT,0 days 02:17:08.562000,18.0
PER,1.0,MEDIUM,0 days 01:02:08.731000,1.0
PER,1.0,MEDIUM,0 days 01:03:52.987000,2.0
PER,1.0,MEDIUM,0 days 01:05:28.469000,3.0
PER,1.0,MEDIUM,0 days 01:07:02.849000,4.0
PER,1.0,MEDIUM,0 days 01:08:37.188000,5.0
PER,1.0,MEDIUM,0 days 01:10:11.261000,6.0
PER,1.0,MEDIUM,0 days 01:11:44.932000,7.0
PER,1.0,MEDIUM,0 days 01:13:18.851000,8.0
PER,1.0,MEDIUM,0 days 01:14:52.419000,9.0
PER,1.0,MEDIUM,0 days 01:16:25.690000,10.0
PER,1.0,MEDIUM,0 days 01:17:59.054000,11.0
PER,1.0,MEDIUM,0 days 01:19:32.601000,12.0
PER,1.0,MEDIUM,0 days 01:21:06.030000,13.0
PER,1.0,MEDIUM,0 days 01:22:39.482000,14.0
PER,1.0,MEDIUM,0 days 01:24:13.233000,15.0
PER,1.0,MEDIUM,0 days 01:25:46.713000,16.0
PER,1.0,MEDIUM,0 days 01:27:19.768000,17.0
PER,1.0,MEDIUM,0 days 01:28:53.048000,18.0
PER,1.0,MEDIUM,0 days 01:30:26.147000,19.0
PER,1.0,MEDIUM,0 days 01:31:59.423000,20.0
PER,1.0,MEDIUM,0 days 01:33:32.625000,21.0
PER,1.0,MEDIUM,0 days 01:35:05.858000,22.0
PER,1.0,MEDIUM,0 days 01:36:38.884000,23.0
PER,1.0,MEDIUM,0 days 01:38:12.146000,24.0
PER,1.0,MEDIUM,0 days 01:39:44.872000,25.0
PER,1.0,MEDIUM,0 days 01:41:17.779000,26.0
PER,1.0,MEDIUM,0 days 01:42:50.741000,27.0
PER,1.0,MEDIUM,0 days 01:44:23.483000,28.0
PER,2.0,SOFT,0 days 01:45:55.718000,1.0
PER,2.0,SOFT,0 days 01:47:46.277000,2.0
PER,2.0,SOFT,0 days 01:49:17.685000,3.0
PER,2.0,SOFT,0 days 01:50:49.217000,4.0
PER,2.0,SOFT,0 days 01:52:33.597000,5.0
PER,2.0,SOFT,0 days 01:54:41.681000,6.0
PER,2.0,SOFT,0 days 01:56:47.485000,7.0
PER,2.0,SOFT,0 days 01:59:09.798000,8.0
PER,2.0,SOFT,0 days 02:01:34.892000,9.0
PER,2.0,SOFT,0 days 02:04:00.352000,10.0
PER,2.0,SOFT,0 days 02:06:16.977000,11.0
PER,2.0,SOFT,0 days 02:07:49.480000,12.0
PER,2.0,SOFT,0 days 02:09:21.389000,13.0
PER,2.0,SOFT,0 days 02:10:52.780000,14.0
PER,2.0,SOFT,0 days 02:12:24.496000,15.0
PER,2.0,SOFT,0 days 02:13:56.501000,16.0
PER,2.0,SOFT,0 days 02:15:28.213000,17.0
PER,2.0,SOFT,0 days 02:16:59.784000,18.0
PER,2.0,SOFT,0 days 02:18:31.459000,19.0
PER,2.0,SOFT,0 days 02:20:02.964000,20.0
PER,2.0,SOFT,0 days 02:21:34.173000,21.0
PER,2.0,SOFT,0 days 02:23:05.533000,22.0
PER,2.0,SOFT,0 days 02:24:36.672000,23.0
PER,2.0,SOFT,0 days 02:26:07.586000,24.0
ALO,1.0,MEDIUM,0 days 01:02:08.731000,2.0
ALO,1.0,MEDIUM,0 days 01:03:48.980000,3.0
ALO,1.0,MEDIUM,0 days 01:05:23.399000,4.0
ALO,1.0,MEDIUM,0 days 01:06:56.823000,5.0
ALO,1.0,MEDIUM,0 days 01:08:29.979000,6.0
ALO,1.0,MEDIUM,0 days 01:10:04.136000,7.0
ALO,1.0,MEDIUM,0 days 01:11:38.772000,8.0
ALO,1.0,MEDIUM,0 days 01:13:13.417000,9.0
ALO,1.0,MEDIUM,0 days 01:14:47.436000,10.0
ALO,1.0,MEDIUM,0 days 01:16:21.093000,11.0
ALO,1.0,MEDIUM,0 days 01:17:54.804000,12.0
ALO,1.0,MEDIUM,0 days 01:19:28.541000,13.0
ALO,1.0,MEDIUM,0 days 01:21:02.492000,14.0
ALO,1.0,MEDIUM,0 days 01:22:36.057000,15.0
ALO,1.0,MEDIUM,0 days 01:24:09.937000,16.0
ALO,1.0,MEDIUM,0 days 01:25:43.673000,17.0
ALO,1.0,MEDIUM,0 days 01:27:17.110000,18.0
ALO,1.0,MEDIUM,0 days 01:28:50.298000,19.0
ALO,1.0,MEDIUM,0 days 01:30:23.615000,20.0
ALO,1.0,MEDIUM,0 days 01:31:56.800000,21.0
ALO,1.0,MEDIUM,0 days 01:33:29.816000,22.0
ALO,1.0,MEDIUM,0 days 01:35:03.006000,23.0
ALO,1.0,MEDIUM,0 days 01:36:36.098000,24.0
ALO,1.0,MEDIUM,0 days 01:38:09.124000,25.0
ALO,1.0,MEDIUM,0 days 01:39:42.141000,26.0
ALO,1.0,MEDIUM,0 days 01:41:15.219000,27.0
ALO,1.0,MEDIUM,0 days 01:42:48.371000,28.0
ALO,1.0,MEDIUM,0 days 01:44:21.285000,29.0
ALO,1.0,MEDIUM,0 days 01:45:54.029000,30.0
ALO,1.0,MEDIUM,0 days 01:47:26.756000,31.0
ALO,1.0,MEDIUM,0 days 01:48:59.442000,32.0
ALO,1.0,MEDIUM,0 days 01:50:32.358000,33.0
ALO,1.0,MEDIUM,0 days 01:52:10.917000,34.0
ALO,2.0,SOFT,0 days 01:54:14.847000,4.0
ALO,2.0,SOFT,0 days 01:56:42.060000,5.0
ALO,2.0,SOFT,0 days 01:59:07.251000,6.0
ALO,2.0,SOFT,0 days 02:01:32.678000,7.0
ALO,2.0,SOFT,0 days 02:03:57.952000,8.0
ALO,2.0,SOFT,0 days 02:06:15.907000,9.0
ALO,2.0,SOFT,0 days 02:07:48.227000,10.0
ALO,2.0,SOFT,0 days 02:09:19.918000,11.0
ALO,2.0,SOFT,0 days 02:10:51.570000,12.0
ALO,2.0,SOFT,0 days 02:12:23.399000,13.0
ALO,2.0,SOFT,0 days 02:13:55.146000,14.0
ALO,2.0,SOFT,0 days 02:15:27.277000,15.0
ALO,2.0,SOFT,0 days 02:16:59.313000,16.0
ALO,2.0,SOFT,0 days 02:18:32.204000,17.0
ALO,2.0,SOFT,0 days 02:20:04.032000,18.0
ALO,2.0,SOFT,0 days 02:21:35.370000,19.0
ALO,2.0,SOFT,0 days 02:23:07.445000,20.0
ALO,2.0,SOFT,0 days 02:24:39.444000,21.0
ALO,2.0,SOFT,0 days 02:26:11.374000,22.0
LEC,1.0,MEDIUM,0 days 01:02:08.731000,1.0
LEC,1.0,MEDIUM,0 days 01:03:47.254000,2.0
LEC,1.0,MEDIUM,0 days 01:05:21.248000,3.0
LEC,1.0,MEDIUM,0 days 01:06:54.182000,4.0
LEC,1.0,MEDIUM,0 days 01:08:27.143000,5.0
LEC,1.0,MEDIUM,0 days 01:10:01.552000,6.0
LEC,1.0,MEDIUM,0 days 01:11:35.313000,7.0
LEC,1.0,MEDIUM,0 days 01:13:08.716000,8.0
LEC,1.0,MEDIUM,0 days 01:14:41.960000,9.0
LEC,1.0,MEDIUM,0 days 01:16:15.047000,10.0
LEC,1.0,MEDIUM,0 days 01:17:48.214000,11.0
LEC,1.0,MEDIUM,0 days 01:19:21.262000,12.0
LEC,1.0,MEDIUM,0 days 01:20:54.883000,13.0
LEC,1.0,MEDIUM,0 days 01:22:28.097000,14.0
LEC,1.0,MEDIUM,0 days 01:24:01.620000,15.0
LEC,1.0,MEDIUM,0 days 01:25:35.162000,16.0
LEC,1.0,MEDIUM,0 days 01:27:08.410000,17.0
LEC,1.0,MEDIUM,0 days 01:28:41.561000,18.0
LEC,2.0,HARD,0 days 01:30:14.036000,1.0
LEC,2.0,HARD,0 days 01:32:06.897000,2.0
LEC,2.0,HARD,0 days 01:33:39.767000,3.0
LEC,2.0,HARD,0 days 01:35:12.615000,4.0
LEC,2.0,HARD,0 days 01:36:45.650000,5.0
LEC,2.0,HARD,0 days 01:38:18.204000,6.0
LEC,2.0,HARD,0 days 01:39:50.935000,7.0
LEC,2.0,HARD,0 days 01:41:23.733000,8.0
LEC,2.0,HARD,0 days 01:42:56.527000,9.0
LEC,2.0,HARD,0 days 01:44:29.469000,10.0
LEC,2.0,HARD,0 days 01:46:02.283000,11.0
LEC,2.0,HARD,0 days 01:47:34.941000,12.0
LEC,2.0,HARD,0 days 01:49:07.405000,13.0
LEC,2.0,HARD,0 days 01:50:40.638000,14.0
LEC,3.0,MEDIUM,0 days 01:52:16.853000,1.0
LEC,3.0,MEDIUM,0 days 01:54:42.983000,2.0
LEC,3.0,MEDIUM,0 days 01:56:49.592000,3.0
LEC,3.0,MEDIUM,0 days 01:59:13.311000,4.0
LEC,3.0,MEDIUM,0 days 02:01:37.171000,5.0
LEC,3.0,MEDIUM,0 days 02:04:03.063000,6.0
LEC,3.0,MEDIUM,0 days 02:06:17.886000,7.0
LEC,3.0,MEDIUM,0 days 02:07:50.386000,8.0
LEC,3.0,MEDIUM,0 days 02:09:22.620000,9.0
LEC,3.0,MEDIUM,0 days 02:10:53.906000,10.0
LEC,3.0,MEDIUM,0 days 02:12:25.832000,11.0
LEC,3.0,MEDIUM,0 days 02:13:57.884000,12.0
LEC,3.0,MEDIUM,0 days 02:15:30.699000,13.0
LEC,3.0,MEDIUM,0 days 02:17:02.599000,14.0
LEC,3.0,MEDIUM,0 days 02:18:34.449000,15.0
LEC,3.0,MEDIUM,0 days 02:20:05.809000,16.0
LEC,3.0,MEDIUM,0 days 02:21:37.064000,17.0
LEC,3.0,MEDIUM,0 days 02:23:08.845000,18.0
LEC,3.0,MEDIUM,0 days 02:24:40.561000,19.0
LEC,3.0,MEDIUM,0 days 02:26:12.324000,20.0
STR,1.0,MEDIUM,0 days 01:02:08.731000,2.0
STR,1.0,MEDIUM,0 days 01:03:51.003000,3.0
