🏎️ CANADIAN GRAND PRIX 2023

🏆 Race Results:
1.0. VER (Red Bull Racing) - 25.0 pts - Status: Finished
2.0. ALO (Aston Martin) - 18.0 pts - Status: Finished
3.0. HAM (Mercedes) - 15.0 pts - Status: Finished
4.0. LEC (Ferrari) - 12.0 pts - Status: Finished
5.0. SAI (Ferrari) - 10.0 pts - Status: Finished
6.0. PER (Red Bull Racing) - 9.0 pts - Status: Finished
7.0. ALB (Williams) - 6.0 pts - Status: Finished
8.0. OCO (Alpine) - 4.0 pts - Status: Finished
9.0. STR (Aston Martin) - 2.0 pts - Status: Finished
10.0. BOT (Alfa Romeo) - 1.0 pts - Status: Finished

🏁 Qualifying Top 5:
1.0. VER (Red Bull Racing) - Q3: 0 days 00:01:25.858000
2.0. HUL (Haas F1 Team) - Q3: 0 days 00:01:27.102000
3.0. ALO (Aston Martin) - Q3: 0 days 00:01:27.286000
4.0. HAM (Mercedes) - Q3: 0 days 00:01:27.627000
5.0. RUS (Mercedes) - Q3: 0 days 00:01:27.893000

🛞 Tire Stints:
Driver Compound  Stint
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     SOFT    1.0
   GAS     HARD    2.0
   GAS     HARD    2.0
