Driver,Stint,Compound,LapStartTime,TyreLife
VER,1.0,MEDIUM,0 days 01:02:05.478000,1.0
VER,1.0,MEDIUM,0 days 01:03:28.801000,2.0
VER,1.0,MEDIUM,0 days 01:04:46.876000,3.0
VER,1.0,MEDIUM,0 days 01:06:04.643000,4.0
VER,1.0,MEDIUM,0 days 01:07:21.846000,5.0
VER,1.0,MEDIUM,0 days 01:08:39.217000,6.0
VER,1.0,MEDIUM,0 days 01:09:56.824000,7.0
VER,1.0,MEDIUM,0 days 01:11:14.389000,8.0
VER,1.0,MEDIUM,0 days 01:12:47.044000,9.0
VER,1.0,MEDIUM,0 days 01:14:04.539000,10.0
VER,1.0,MEDIUM,0 days 01:15:21.898000,11.0
VER,1.0,MEDIUM,0 days 01:16:39.166000,12.0
VER,2.0,HARD,0 days 01:18:12.358000,1.0
VER,2.0,HARD,0 days 01:20:42.269000,2.0
VER,2.0,HARD,0 days 01:22:46.908000,3.0
VER,2.0,HARD,0 days 01:24:41.585000,4.0
VER,2.0,HARD,0 days 01:26:56.490000,5.0
VER,2.0,HARD,0 days 01:28:13.635000,6.0
VER,2.0,HARD,0 days 01:29:30.317000,7.0
VER,2.0,HARD,0 days 01:30:46.947000,8.0
VER,2.0,HARD,0 days 01:32:03.554000,9.0
VER,2.0,HARD,0 days 01:33:20.206000,10.0
VER,2.0,HARD,0 days 01:34:36.903000,11.0
VER,2.0,HARD,0 days 01:35:53.849000,12.0
VER,2.0,HARD,0 days 01:37:10.490000,13.0
VER,2.0,HARD,0 days 01:38:27.133000,14.0
VER,2.0,HARD,0 days 01:39:43.918000,15.0
VER,2.0,HARD,0 days 01:41:00.846000,16.0
VER,2.0,HARD,0 days 01:42:17.850000,17.0
VER,2.0,HARD,0 days 01:43:34.657000,18.0
VER,2.0,HARD,0 days 01:44:51.673000,19.0
VER,2.0,HARD,0 days 01:46:08.522000,20.0
VER,2.0,HARD,0 days 01:47:25.440000,21.0
VER,2.0,HARD,0 days 01:48:42.270000,22.0
VER,2.0,HARD,0 days 01:49:59.324000,23.0
VER,2.0,HARD,0 days 01:51:16.549000,24.0
VER,2.0,HARD,0 days 01:52:34.314000,25.0
VER,2.0,HARD,0 days 01:53:51.408000,26.0
VER,2.0,HARD,0 days 01:55:08.419000,27.0
VER,2.0,HARD,0 days 01:56:25.692000,28.0
VER,2.0,HARD,0 days 01:57:43.092000,29.0
VER,2.0,HARD,0 days 01:59:00.109000,30.0
VER,3.0,MEDIUM,0 days 02:00:33.382000,1.0
VER,3.0,MEDIUM,0 days 02:01:52.693000,2.0
VER,3.0,MEDIUM,0 days 02:03:09.015000,3.0
VER,3.0,MEDIUM,0 days 02:04:25.107000,4.0
VER,3.0,MEDIUM,0 days 02:05:41.311000,5.0
VER,3.0,MEDIUM,0 days 02:06:57.347000,6.0
VER,3.0,MEDIUM,0 days 02:08:13.456000,7.0
VER,3.0,MEDIUM,0 days 02:09:29.312000,8.0
VER,3.0,MEDIUM,0 days 02:10:45.231000,9.0
VER,3.0,MEDIUM,0 days 02:12:01.026000,10.0
VER,3.0,MEDIUM,0 days 02:13:17.129000,11.0
VER,3.0,MEDIUM,0 days 02:14:32.823000,12.0
VER,3.0,MEDIUM,0 days 02:15:48.555000,13.0
VER,3.0,MEDIUM,0 days 02:17:04.375000,14.0
VER,3.0,MEDIUM,0 days 02:18:20.263000,15.0
VER,3.0,MEDIUM,0 days 02:19:36.208000,16.0
VER,3.0,MEDIUM,0 days 02:20:52.165000,17.0
VER,3.0,MEDIUM,0 days 02:22:07.940000,18.0
VER,3.0,MEDIUM,0 days 02:23:23.806000,19.0
VER,3.0,MEDIUM,0 days 02:24:39.734000,20.0
VER,3.0,MEDIUM,0 days 02:25:55.667000,21.0
VER,3.0,MEDIUM,0 days 02:27:11.604000,22.0
VER,3.0,MEDIUM,0 days 02:28:27.818000,23.0
VER,3.0,MEDIUM,0 days 02:29:43.715000,24.0
VER,3.0,MEDIUM,0 days 02:30:59.948000,25.0
VER,3.0,MEDIUM,0 days 02:32:16.069000,26.0
VER,3.0,MEDIUM,0 days 02:33:31.663000,27.0
VER,3.0,MEDIUM,0 days 02:34:47.832000,28.0
GAS,1.0,SOFT,0 days 01:02:05.478000,1.0
GAS,1.0,SOFT,0 days 01:03:36.992000,2.0
GAS,1.0,SOFT,0 days 01:04:56.332000,3.0
GAS,1.0,SOFT,0 days 01:06:15.032000,4.0
GAS,1.0,SOFT,0 days 01:07:33.546000,5.0
GAS,1.0,SOFT,0 days 01:08:52.509000,6.0
GAS,1.0,SOFT,0 days 01:10:10.807000,7.0
GAS,1.0,SOFT,0 days 01:11:29.914000,8.0
GAS,1.0,SOFT,0 days 01:13:03.756000,9.0
GAS,1.0,SOFT,0 days 01:14:22.430000,10.0
GAS,2.0,HARD,0 days 01:16:02.546000,1.0
GAS,2.0,HARD,0 days 01:17:24.486000,2.0
GAS,2.0,HARD,0 days 01:19:06.300000,3.0
GAS,2.0,HARD,0 days 01:21:04.289000,4.0
GAS,2.0,HARD,0 days 01:23:10.731000,5.0
GAS,2.0,HARD,0 days 01:25:08.057000,6.0
GAS,2.0,HARD,0 days 01:27:04.489000,7.0
GAS,2.0,HARD,0 days 01:28:24.317000,8.0
GAS,2.0,HARD,0 days 01:29:43.667000,9.0
GAS,2.0,HARD,0 days 01:31:02.086000,10.0
GAS,2.0,HARD,0 days 01:32:20.577000,11.0
GAS,2.0,HARD,0 days 01:33:39.383000,12.0
GAS,2.0,HARD,0 days 01:34:57.821000,13.0
GAS,2.0,HARD,0 days 01:36:16.254000,14.0
GAS,2.0,HARD,0 days 01:37:34.921000,15.0
GAS,2.0,HARD,0 days 01:38:53.209000,16.0
GAS,2.0,HARD,0 days 01:40:11.932000,17.0
GAS,2.0,HARD,0 days 01:41:30.431000,18.0
