driver,team,qualifying_position,Q1_time,Q2_time,Q3_time
VER,Red Bull Racing,1.0,0 days 00:01:20.965000,0 days 00:01:18.856000,0 days 00:01:10.567000
NOR,McLaren,2.0,0 days 00:01:21.276000,0 days 00:01:19.769000,0 days 00:01:11.104000
RUS,Mercedes,3.0,0 days 00:01:21.345000,0 days 00:01:19.620000,0 days 00:01:11.294000
ALB,Williams,4.0,0 days 00:01:20.939000,0 days 00:01:19.399000,0 days 00:01:11.419000
ALO,Aston Martin,5.0,0 days 00:01:21.840000,0 days 00:01:19.429000,0 days 00:01:11.506000
SAI,Ferrari,6.0,0 days 00:01:21.321000,0 days 00:01:19.929000,0 days 00:01:11.754000
PER,Red Bull Racing,7.0,0 days 00:01:21.972000,0 days 00:01:19.856000,0 days 00:01:11.880000
PIA,McLaren,8.0,0 days 00:01:21.231000,0 days 00:01:19.392000,0 days 00:01:11.938000
LEC,Ferrari,9.0,0 days 00:01:22.019000,0 days 00:01:19.600000,0 days 00:01:12.665000
SAR,Williams,10.0,0 days 00:01:22.036000,0 days 00:01:20.067000,0 days 00:01:16.748000
STR,Aston Martin,11.0,0 days 00:01:21.570000,0 days 00:01:20.121000,
GAS,Alpine,12.0,0 days 00:01:21.735000,0 days 00:01:20.128000,
HAM,Mercedes,13.0,0 days 00:01:21.919000,0 days 00:01:20.151000,
TSU,AlphaTauri,14.0,0 days 00:01:21.781000,0 days 00:01:20.230000,
HUL,Haas F1 Team,15.0,0 days 00:01:21.891000,0 days 00:01:20.250000,
ZHO,Alfa Romeo,16.0,0 days 00:01:22.067000,,
OCO,Alpine,17.0,0 days 00:01:22.110000,,
MAG,Haas F1 Team,18.0,0 days 00:01:22.192000,,
BOT,Alfa Romeo,19.0,0 days 00:01:22.260000,,
LAW,AlphaTauri,20.0,0 days 00:01:23.420000,,
