Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
VER,0 days 00:01:31.585000,,0 days 00:00:28.929000,0 days 00:00:30.478000,SOFT,1.0,,
VER,0 days 00:01:49.972000,0 days 00:00:36.330000,0 days 00:00:36.685000,0 days 00:00:36.957000,SOFT,2.0,,0 days 01:05:25.519000
VER,0 days 00:01:48.658000,0 days 00:00:49.822000,0 days 00:00:30.905000,0 days 00:00:27.931000,INTERMEDIATE,1.0,0 days 01:05:45.581000,
VER,0 days 00:01:25.251000,0 days 00:00:29.996000,0 days 00:00:29.479000,0 days 00:00:25.776000,INTERMEDIATE,2.0,,
VER,0 days 00:01:23.461000,0 days 00:00:28.478000,0 days 00:00:29.064000,0 days 00:00:25.919000,INTERMEDIATE,3.0,,
VER,0 days 00:01:22.503000,0 days 00:00:28.276000,0 days 00:00:28.735000,0 days 00:00:25.492000,INTERMEDIATE,4.0,,
VER,0 days 00:01:22.116000,0 days 00:00:27.984000,0 days 00:00:28.882000,0 days 00:00:25.250000,INTERMEDIATE,5.0,,
VER,0 days 00:01:23.232000,0 days 00:00:28.241000,0 days 00:00:29.497000,0 days 00:00:25.494000,INTERMEDIATE,6.0,,
VER,0 days 00:01:23.313000,0 days 00:00:28.053000,0 days 00:00:29.698000,0 days 00:00:25.562000,INTERMEDIATE,7.0,,
VER,0 days 00:01:23.698000,0 days 00:00:28.262000,0 days 00:00:30.004000,0 days 00:00:25.432000,INTERMEDIATE,8.0,,
VER,0 days 00:01:27.017000,0 days 00:00:28.285000,0 days 00:00:30.123000,0 days 00:00:28.609000,INTERMEDIATE,9.0,,0 days 01:18:24.474000
VER,0 days 00:01:38.034000,0 days 00:00:46.130000,0 days 00:00:27.928000,0 days 00:00:23.976000,SOFT,1.0,0 days 01:18:43.770000,
VER,0 days 00:01:18.775000,0 days 00:00:27.130000,0 days 00:00:28.012000,0 days 00:00:23.633000,SOFT,2.0,,
VER,0 days 00:01:17.550000,0 days 00:00:26.683000,0 days 00:00:27.606000,0 days 00:00:23.261000,SOFT,3.0,,
VER,0 days 00:01:16.930000,0 days 00:00:26.612000,0 days 00:00:27.153000,0 days 00:00:23.165000,SOFT,4.0,,
VER,0 days 00:01:26.915000,0 days 00:00:26.101000,0 days 00:00:28.078000,0 days 00:00:32.736000,SOFT,5.0,,
VER,0 days 00:02:02.217000,0 days 00:00:39.497000,0 days 00:00:45.949000,0 days 00:00:36.771000,SOFT,6.0,,
VER,0 days 00:02:08.315000,0 days 00:00:44.318000,0 days 00:00:45.019000,0 days 00:00:38.978000,SOFT,7.0,,
VER,0 days 00:01:59.845000,0 days 00:00:42.928000,0 days 00:00:42.767000,0 days 00:00:34.150000,SOFT,8.0,,
VER,0 days 00:01:55.257000,0 days 00:00:38.697000,0 days 00:00:42.228000,0 days 00:00:34.332000,SOFT,9.0,,
VER,0 days 00:02:07.622000,0 days 00:00:38.697000,0 days 00:00:41.054000,0 days 00:00:47.871000,SOFT,10.0,,
VER,0 days 00:01:16.305000,0 days 00:00:26.240000,0 days 00:00:26.831000,0 days 00:00:23.234000,SOFT,11.0,,
VER,0 days 00:01:16.085000,0 days 00:00:26.184000,0 days 00:00:26.911000,0 days 00:00:22.990000,SOFT,12.0,,
VER,0 days 00:01:15.783000,0 days 00:00:26.068000,0 days 00:00:26.783000,0 days 00:00:22.932000,SOFT,13.0,,
VER,0 days 00:01:15.664000,0 days 00:00:25.953000,0 days 00:00:26.720000,0 days 00:00:22.991000,SOFT,14.0,,
VER,0 days 00:01:15.659000,0 days 00:00:25.976000,0 days 00:00:26.794000,0 days 00:00:22.889000,SOFT,15.0,,
VER,0 days 00:01:15.681000,0 days 00:00:25.834000,0 days 00:00:26.936000,0 days 00:00:22.911000,SOFT,16.0,,
VER,0 days 00:01:15.499000,0 days 00:00:25.921000,0 days 00:00:26.759000,0 days 00:00:22.819000,SOFT,17.0,,
VER,0 days 00:01:15.374000,0 days 00:00:25.825000,0 days 00:00:26.797000,0 days 00:00:22.752000,SOFT,18.0,,
VER,0 days 00:01:15.510000,0 days 00:00:25.837000,0 days 00:00:26.867000,0 days 00:00:22.806000,SOFT,19.0,,
VER,0 days 00:01:15.561000,0 days 00:00:25.910000,0 days 00:00:26.827000,0 days 00:00:22.824000,SOFT,20.0,,
VER,0 days 00:01:15.414000,0 days 00:00:25.772000,0 days 00:00:26.884000,0 days 00:00:22.758000,SOFT,21.0,,
VER,0 days 00:01:15.342000,0 days 00:00:25.748000,0 days 00:00:26.728000,0 days 00:00:22.866000,SOFT,22.0,,
VER,0 days 00:01:15.272000,0 days 00:00:25.780000,0 days 00:00:26.751000,0 days 00:00:22.741000,SOFT,23.0,,
VER,0 days 00:01:15.275000,0 days 00:00:25.810000,0 days 00:00:26.761000,0 days 00:00:22.704000,SOFT,24.0,,
VER,0 days 00:01:15.221000,0 days 00:00:25.855000,0 days 00:00:26.727000,0 days 00:00:22.639000,SOFT,25.0,,
VER,0 days 00:01:15.167000,0 days 00:00:25.712000,0 days 00:00:26.693000,0 days 00:00:22.762000,SOFT,26.0,,
VER,0 days 00:01:15.071000,0 days 00:00:25.733000,0 days 00:00:26.749000,0 days 00:00:22.589000,SOFT,27.0,,
VER,0 days 00:01:15.193000,0 days 00:00:25.742000,0 days 00:00:26.690000,0 days 00:00:22.761000,SOFT,28.0,,
VER,0 days 00:01:15.132000,0 days 00:00:25.770000,0 days 00:00:26.752000,0 days 00:00:22.610000,SOFT,29.0,,
VER,0 days 00:01:15.306000,0 days 00:00:25.825000,0 days 00:00:26.774000,0 days 00:00:22.707000,SOFT,30.0,,
VER,0 days 00:01:15.333000,0 days 00:00:25.766000,0 days 00:00:26.930000,0 days 00:00:22.637000,SOFT,31.0,,
VER,0 days 00:01:15.366000,0 days 00:00:25.733000,0 days 00:00:26.920000,0 days 00:00:22.713000,SOFT,32.0,,
VER,0 days 00:01:15.593000,0 days 00:00:25.944000,0 days 00:00:26.885000,0 days 00:00:22.764000,SOFT,33.0,,
VER,0 days 00:01:15.559000,0 days 00:00:25.775000,0 days 00:00:27.065000,0 days 00:00:22.719000,SOFT,34.0,,
VER,0 days 00:01:15.510000,0 days 00:00:25.839000,0 days 00:00:26.920000,0 days 00:00:22.751000,SOFT,35.0,,
VER,0 days 00:01:15.575000,0 days 00:00:25.748000,0 days 00:00:27.099000,0 days 00:00:22.728000,SOFT,36.0,,
VER,0 days 00:01:15.408000,0 days 00:00:25.836000,0 days 00:00:26.840000,0 days 00:00:22.732000,SOFT,37.0,,
VER,0 days 00:01:18.531000,0 days 00:00:25.737000,0 days 00:00:27.011000,0 days 00:00:25.783000,SOFT,38.0,,0 days 02:10:52.324000
VER,0 days 00:01:32.004000,0 days 00:00:43.637000,0 days 00:00:26.073000,0 days 00:00:22.294000,SOFT,2.0,0 days 02:11:11.011000,
VER,0 days 00:01:13.941000,0 days 00:00:25.659000,0 days 00:00:25.954000,0 days 00:00:22.328000,SOFT,3.0,,
VER,0 days 00:01:14.282000,0 days 00:00:25.659000,0 days 00:00:26.141000,0 days 00:00:22.482000,SOFT,4.0,,
VER,0 days 00:01:14.272000,0 days 00:00:25.601000,0 days 00:00:26.166000,0 days 00:00:22.505000,SOFT,5.0,,
VER,0 days 00:01:14.256000,0 days 00:00:25.540000,0 days 00:00:26.334000,0 days 00:00:22.382000,SOFT,6.0,,
VER,0 days 00:01:14.415000,0 days 00:00:25.593000,0 days 00:00:26.415000,0 days 00:00:22.407000,SOFT,7.0,,
VER,0 days 00:01:14.410000,0 days 00:00:25.549000,0 days 00:00:26.332000,0 days 00:00:22.529000,SOFT,8.0,,
VER,0 days 00:01:14.096000,0 days 00:00:25.590000,0 days 00:00:26.093000,0 days 00:00:22.413000,SOFT,9.0,,
VER,0 days 00:01:13.889000,0 days 00:00:25.495000,0 days 00:00:26.078000,0 days 00:00:22.316000,SOFT,10.0,,
VER,0 days 00:01:13.943000,0 days 00:00:25.379000,0 days 00:00:26.248000,0 days 00:00:22.316000,SOFT,11.0,,
