Driver,Stint,Compound,LapStartTime,TyreLife
VER,1.0,SOFT,0 days 01:02:04.960000,1.0
VER,1.0,SOFT,0 days 01:03:34.672000,2.0
VER,2.0,INTERMEDIATE,0 days 01:05:24.644000,1.0
VER,2.0,INTERMEDIATE,0 days 01:07:13.302000,2.0
VER,2.0,INTERMEDIATE,0 days 01:08:38.553000,3.0
VER,2.0,INTERMEDIATE,0 days 01:10:02.014000,4.0
VER,2.0,INTERMEDIATE,0 days 01:11:24.517000,5.0
VER,2.0,INTERMEDIATE,0 days 01:12:46.633000,6.0
VER,2.0,INTERMEDIATE,0 days 01:14:09.865000,7.0
VER,2.0,INTERMEDIATE,0 days 01:15:33.178000,8.0
VER,2.0,INTERMEDIATE,0 days 01:16:56.876000,9.0
VER,3.0,SOFT,0 days 01:18:23.893000,1.0
VER,3.0,SOFT,0 days 01:20:01.927000,2.0
VER,3.0,SOFT,0 days 01:21:20.702000,3.0
VER,3.0,SOFT,0 days 01:22:38.252000,4.0
VER,3.0,SOFT,0 days 01:23:55.182000,5.0
VER,3.0,SOFT,0 days 01:25:22.097000,6.0
VER,3.0,SOFT,0 days 01:27:24.314000,7.0
VER,3.0,SOFT,0 days 01:29:32.629000,8.0
VER,3.0,SOFT,0 days 01:31:32.474000,9.0
VER,3.0,SOFT,0 days 01:33:27.731000,10.0
VER,3.0,SOFT,0 days 01:35:35.353000,11.0
VER,3.0,SOFT,0 days 01:36:51.658000,12.0
VER,3.0,SOFT,0 days 01:38:07.743000,13.0
VER,3.0,SOFT,0 days 01:39:23.526000,14.0
VER,3.0,SOFT,0 days 01:40:39.190000,15.0
VER,3.0,SOFT,0 days 01:41:54.849000,16.0
VER,3.0,SOFT,0 days 01:43:10.530000,17.0
VER,3.0,SOFT,0 days 01:44:26.029000,18.0
VER,3.0,SOFT,0 days 01:45:41.403000,19.0
VER,3.0,SOFT,0 days 01:46:56.913000,20.0
VER,3.0,SOFT,0 days 01:48:12.474000,21.0
VER,3.0,SOFT,0 days 01:49:27.888000,22.0
VER,3.0,SOFT,0 days 01:50:43.230000,23.0
VER,3.0,SOFT,0 days 01:51:58.502000,24.0
VER,3.0,SOFT,0 days 01:53:13.777000,25.0
VER,3.0,SOFT,0 days 01:54:28.998000,26.0
VER,3.0,SOFT,0 days 01:55:44.165000,27.0
VER,3.0,SOFT,0 days 01:56:59.236000,28.0
VER,3.0,SOFT,0 days 01:58:14.429000,29.0
VER,3.0,SOFT,0 days 01:59:29.561000,30.0
VER,3.0,SOFT,0 days 02:00:44.867000,31.0
VER,3.0,SOFT,0 days 02:02:00.200000,32.0
VER,3.0,SOFT,0 days 02:03:15.566000,33.0
VER,3.0,SOFT,0 days 02:04:31.159000,34.0
VER,3.0,SOFT,0 days 02:05:46.718000,35.0
VER,3.0,SOFT,0 days 02:07:02.228000,36.0
VER,3.0,SOFT,0 days 02:08:17.803000,37.0
VER,3.0,SOFT,0 days 02:09:33.211000,38.0
VER,4.0,SOFT,0 days 02:10:51.742000,2.0
VER,4.0,SOFT,0 days 02:12:23.746000,3.0
VER,4.0,SOFT,0 days 02:13:37.687000,4.0
VER,4.0,SOFT,0 days 02:14:51.969000,5.0
VER,4.0,SOFT,0 days 02:16:06.241000,6.0
VER,4.0,SOFT,0 days 02:17:20.497000,7.0
VER,4.0,SOFT,0 days 02:18:34.912000,8.0
VER,4.0,SOFT,0 days 02:19:49.322000,9.0
VER,4.0,SOFT,0 days 02:21:03.418000,10.0
VER,4.0,SOFT,0 days 02:22:17.307000,11.0
VER,4.0,SOFT,0 days 02:23:31.250000,12.0
