🏎️ HUNGARIAN GRAND PRIX 2023

🏆 Race Results:
1.0. VER (Red Bull Racing) - 26.0 pts - Status: Finished
2.0. NOR (McLaren) - 18.0 pts - Status: Finished
3.0. PER (Red Bull Racing) - 15.0 pts - Status: Finished
4.0. HAM (Mercedes) - 12.0 pts - Status: Finished
5.0. PIA (McLaren) - 10.0 pts - Status: Finished
6.0. RUS (Mercedes) - 8.0 pts - Status: Finished
7.0. LEC (Ferrari) - 6.0 pts - Status: Finished
8.0. SAI (Ferrari) - 4.0 pts - Status: Finished
9.0. ALO (Aston Martin) - 2.0 pts - Status: Finished
10.0. STR (Aston Martin) - 1.0 pts - Status: Lapped

🏁 Qualifying Top 5:
1.0. HAM (Mercedes) - Q3: 0 days 00:01:16.609000
2.0. VER (Red Bull Racing) - Q3: 0 days 00:01:16.612000
3.0. NOR (McLaren) - Q3: 0 days 00:01:16.694000
4.0. PIA (McLaren) - Q3: 0 days 00:01:16.905000
5.0. ZHO (Alfa Romeo) - Q3: 0 days 00:01:16.971000

🛞 Tire Stints:
Driver Compound  Stint
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   VER   MEDIUM    3.0
   NOR   MEDIUM    1.0
   NOR   MEDIUM    1.0
   NOR   MEDIUM    1.0
   NOR   MEDIUM    1.0
   NOR   MEDIUM    1.0
   NOR   MEDIUM    1.0
   NOR   MEDIUM    1.0
   NOR   MEDIUM    1.0
   NOR   MEDIUM    1.0
   NOR   MEDIUM    1.0
