Driver,Stint,Compound,LapStartTime,TyreLife
VER,1.0,MEDIUM,0 days 01:02:04.106000,4.0
VER,1.0,MEDIUM,0 days 01:03:32.264000,5.0
VER,1.0,MEDIUM,0 days 01:04:57.421000,6.0
VER,1.0,MEDIUM,0 days 01:06:22.491000,7.0
VER,1.0,MEDIUM,0 days 01:07:47.033000,8.0
VER,1.0,MEDIUM,0 days 01:09:11.876000,9.0
VER,1.0,MEDIUM,0 days 01:10:36.472000,10.0
VER,1.0,MEDIUM,0 days 01:12:00.959000,11.0
VER,1.0,MEDIUM,0 days 01:13:25.468000,12.0
VER,1.0,MEDIUM,0 days 01:14:49.905000,13.0
VER,1.0,MEDIUM,0 days 01:16:14.310000,14.0
VER,1.0,MEDIUM,0 days 01:17:38.772000,15.0
VER,1.0,MEDIUM,0 days 01:19:03.078000,16.0
VER,1.0,MEDIUM,0 days 01:20:27.433000,17.0
VER,1.0,MEDIUM,0 days 01:21:51.634000,18.0
VER,1.0,MEDIUM,0 days 01:23:15.755000,19.0
VER,1.0,MEDIUM,0 days 01:24:40.128000,20.0
VER,1.0,MEDIUM,0 days 01:26:04.342000,21.0
VER,1.0,MEDIUM,0 days 01:27:28.537000,22.0
VER,1.0,MEDIUM,0 days 01:28:52.933000,23.0
VER,1.0,MEDIUM,0 days 01:30:16.998000,24.0
VER,1.0,MEDIUM,0 days 01:31:41.010000,25.0
VER,1.0,MEDIUM,0 days 01:33:05.370000,26.0
VER,2.0,HARD,0 days 01:34:32.521000,1.0
VER,2.0,HARD,0 days 01:36:14.528000,2.0
VER,2.0,HARD,0 days 01:37:38.305000,3.0
VER,2.0,HARD,0 days 01:39:02.022000,4.0
VER,2.0,HARD,0 days 01:40:25.658000,5.0
VER,2.0,HARD,0 days 01:41:49.345000,6.0
VER,2.0,HARD,0 days 01:43:13.107000,7.0
VER,2.0,HARD,0 days 01:44:36.731000,8.0
VER,2.0,HARD,0 days 01:46:00.321000,9.0
VER,2.0,HARD,0 days 01:47:23.613000,10.0
VER,2.0,HARD,0 days 01:48:47.136000,11.0
VER,2.0,HARD,0 days 01:50:10.643000,12.0
VER,2.0,HARD,0 days 01:51:34.132000,13.0
VER,2.0,HARD,0 days 01:52:57.417000,14.0
VER,2.0,HARD,0 days 01:54:20.667000,15.0
VER,2.0,HARD,0 days 01:55:44.137000,16.0
VER,2.0,HARD,0 days 01:57:08.280000,17.0
VER,2.0,HARD,0 days 01:58:31.985000,18.0
VER,2.0,HARD,0 days 01:59:55.008000,19.0
VER,2.0,HARD,0 days 02:01:18.317000,20.0
VER,2.0,HARD,0 days 02:02:41.655000,21.0
VER,2.0,HARD,0 days 02:04:05.427000,22.0
VER,2.0,HARD,0 days 02:05:29.357000,23.0
VER,2.0,HARD,0 days 02:06:52.996000,24.0
VER,2.0,HARD,0 days 02:08:16.604000,25.0
VER,2.0,HARD,0 days 02:09:40.091000,26.0
VER,2.0,HARD,0 days 02:11:03.913000,27.0
VER,2.0,HARD,0 days 02:12:27.695000,28.0
VER,3.0,MEDIUM,0 days 02:13:53.905000,4.0
VER,3.0,MEDIUM,0 days 02:15:36.628000,5.0
VER,3.0,MEDIUM,0 days 02:16:57.132000,6.0
VER,3.0,MEDIUM,0 days 02:18:21.067000,7.0
VER,3.0,MEDIUM,0 days 02:19:43.914000,8.0
VER,3.0,MEDIUM,0 days 02:21:06.514000,9.0
VER,3.0,MEDIUM,0 days 02:22:28.939000,10.0
VER,3.0,MEDIUM,0 days 02:23:51.589000,11.0
VER,3.0,MEDIUM,0 days 02:25:13.469000,12.0
VER,3.0,MEDIUM,0 days 02:26:35.023000,13.0
VER,3.0,MEDIUM,0 days 02:27:56.543000,14.0
VER,3.0,MEDIUM,0 days 02:29:18.236000,15.0
VER,3.0,MEDIUM,0 days 02:30:40.008000,16.0
VER,3.0,MEDIUM,0 days 02:32:02.130000,17.0
VER,3.0,MEDIUM,0 days 02:33:24.353000,18.0
VER,3.0,MEDIUM,0 days 02:34:46.294000,19.0
VER,3.0,MEDIUM,0 days 02:36:08.048000,20.0
VER,3.0,MEDIUM,0 days 02:37:29.572000,21.0
VER,3.0,MEDIUM,0 days 02:38:50.752000,22.0
NOR,1.0,MEDIUM,0 days 01:02:04.106000,1.0
NOR,1.0,MEDIUM,0 days 01:03:34.253000,2.0
NOR,1.0,MEDIUM,0 days 01:05:00.073000,3.0
NOR,1.0,MEDIUM,0 days 01:06:25.278000,4.0
NOR,1.0,MEDIUM,0 days 01:07:50.072000,5.0
NOR,1.0,MEDIUM,0 days 01:09:14.965000,6.0
NOR,1.0,MEDIUM,0 days 01:10:39.791000,7.0
NOR,1.0,MEDIUM,0 days 01:12:04.929000,8.0
NOR,1.0,MEDIUM,0 days 01:13:29.934000,9.0
NOR,1.0,MEDIUM,0 days 01:14:55.133000,10.0
NOR,1.0,MEDIUM,0 days 01:16:20.091000,11.0
NOR,1.0,MEDIUM,0 days 01:17:44.966000,12.0
NOR,1.0,MEDIUM,0 days 01:19:09.967000,13.0
NOR,1.0,MEDIUM,0 days 01:20:35.058000,14.0
NOR,1.0,MEDIUM,0 days 01:22:00.066000,15.0
NOR,1.0,MEDIUM,0 days 01:23:24.935000,16.0
NOR,1.0,MEDIUM,0 days 01:24:49.950000,17.0
NOR,2.0,HARD,0 days 01:26:17.065000,1.0
NOR,2.0,HARD,0 days 01:27:57.593000,2.0
NOR,2.0,HARD,0 days 01:29:21.136000,3.0
NOR,2.0,HARD,0 days 01:30:45.077000,4.0
NOR,2.0,HARD,0 days 01:32:08.576000,5.0
NOR,2.0,HARD,0 days 01:33:32.457000,6.0
NOR,2.0,HARD,0 days 01:34:56.164000,7.0
NOR,2.0,HARD,0 days 01:36:20.011000,8.0
NOR,2.0,HARD,0 days 01:37:43.528000,9.0
NOR,2.0,HARD,0 days 01:39:07.260000,10.0
NOR,2.0,HARD,0 days 01:40:31.324000,11.0
NOR,2.0,HARD,0 days 01:41:55.777000,12.0
NOR,2.0,HARD,0 days 01:43:19.913000,13.0
NOR,2.0,HARD,0 days 01:44:43.956000,14.0
NOR,2.0,HARD,0 days 01:46:08.245000,15.0
NOR,2.0,HARD,0 days 01:47:32.376000,16.0
NOR,2.0,HARD,0 days 01:48:56.673000,17.0
NOR,2.0,HARD,0 days 01:50:20.897000,18.0
NOR,2.0,HARD,0 days 01:51:45.031000,19.0
NOR,2.0,HARD,0 days 01:53:09.567000,20.0
NOR,2.0,HARD,0 days 01:54:33.986000,21.0
NOR,2.0,HARD,0 days 01:55:58.593000,22.0
NOR,2.0,HARD,0 days 01:57:23.366000,23.0
NOR,2.0,HARD,0 days 01:58:48.163000,24.0
NOR,2.0,HARD,0 days 02:00:12.630000,25.0
