🏎️ ITALIAN GRAND PRIX 2023

🏆 Race Results:
1.0. VER (Red Bull Racing) - 25.0 pts - Status: Finished
2.0. PER (Red Bull Racing) - 18.0 pts - Status: Finished
3.0. SAI (Ferrari) - 15.0 pts - Status: Finished
4.0. LEC (Ferrari) - 12.0 pts - Status: Finished
5.0. RUS (Mercedes) - 10.0 pts - Status: Finished
6.0. HAM (Mercedes) - 8.0 pts - Status: Finished
7.0. ALB (Williams) - 6.0 pts - Status: Finished
8.0. NOR (McLaren) - 4.0 pts - Status: Finished
9.0. ALO (Aston Martin) - 2.0 pts - Status: Finished
10.0. BOT (Alfa Romeo) - 1.0 pts - Status: Finished

🏁 Qualifying Top 5:
1.0. SAI (Ferrari) - Q3: 0 days 00:01:20.294000
2.0. VER (Red Bull Racing) - Q3: 0 days 00:01:20.307000
3.0. LEC (Ferrari) - Q3: 0 days 00:01:20.361000
4.0. RUS (Mercedes) - Q3: 0 days 00:01:20.671000
5.0. PER (Red Bull Racing) - Q3: 0 days 00:01:20.688000

🛞 Tire Stints:
Driver Compound  Stint
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS   MEDIUM    1.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS     HARD    2.0
   GAS   MEDIUM    3.0
   GAS   MEDIUM    3.0
