Driver,Stint,Compound,LapStartTime,TyreLife
VER,1.0,MEDIUM,0 days 01:22:21.726000,1.0
VER,1.0,MEDIUM,0 days 01:23:49.780000,2.0
VER,1.0,MEDIUM,0 days 01:25:15.943000,3.0
VER,1.0,MEDIUM,0 days 01:26:41.645000,4.0
VER,1.0,MEDIUM,0 days 01:28:07.695000,5.0
VER,1.0,MEDIUM,0 days 01:29:33.871000,6.0
VER,1.0,MEDIUM,0 days 01:31:00.708000,7.0
VER,1.0,MEDIUM,0 days 01:32:27.076000,8.0
VER,1.0,MEDIUM,0 days 01:33:53.066000,9.0
VER,1.0,MEDIUM,0 days 01:35:19.671000,10.0
VER,1.0,MEDIUM,0 days 01:36:46.274000,11.0
VER,1.0,MEDIUM,0 days 01:38:12.917000,12.0
VER,1.0,MEDIUM,0 days 01:39:39.359000,13.0
VER,1.0,MEDIUM,0 days 01:41:06.025000,14.0
VER,1.0,MEDIUM,0 days 01:42:33.053000,15.0
VER,1.0,MEDIUM,0 days 01:43:59.835000,16.0
VER,1.0,MEDIUM,0 days 01:45:26.553000,17.0
VER,1.0,MEDIUM,0 days 01:46:53.286000,18.0
VER,1.0,MEDIUM,0 days 01:48:19.559000,19.0
VER,1.0,MEDIUM,0 days 01:49:45.997000,20.0
VER,2.0,HARD,0 days 01:51:16.846000,1.0
VER,2.0,HARD,0 days 01:53:02.506000,2.0
VER,2.0,HARD,0 days 01:54:28.391000,3.0
VER,2.0,HARD,0 days 01:55:54.550000,4.0
VER,2.0,HARD,0 days 01:57:20.877000,5.0
VER,2.0,HARD,0 days 01:58:46.791000,6.0
VER,2.0,HARD,0 days 02:00:12.577000,7.0
VER,2.0,HARD,0 days 02:01:38.078000,8.0
VER,2.0,HARD,0 days 02:03:03.512000,9.0
VER,2.0,HARD,0 days 02:04:28.983000,10.0
VER,2.0,HARD,0 days 02:05:54.381000,11.0
VER,2.0,HARD,0 days 02:07:19.883000,12.0
VER,2.0,HARD,0 days 02:08:45.293000,13.0
VER,2.0,HARD,0 days 02:10:10.533000,14.0
VER,2.0,HARD,0 days 02:11:36.216000,15.0
VER,2.0,HARD,0 days 02:13:02.031000,16.0
VER,2.0,HARD,0 days 02:14:27.629000,17.0
VER,2.0,HARD,0 days 02:15:53.312000,18.0
VER,2.0,HARD,0 days 02:17:18.897000,19.0
VER,2.0,HARD,0 days 02:18:44.383000,20.0
VER,2.0,HARD,0 days 02:20:10.284000,21.0
VER,2.0,HARD,0 days 02:21:36.063000,22.0
VER,2.0,HARD,0 days 02:23:01.975000,23.0
VER,2.0,HARD,0 days 02:24:27.969000,24.0
VER,2.0,HARD,0 days 02:25:53.720000,25.0
VER,2.0,HARD,0 days 02:27:19.636000,26.0
VER,2.0,HARD,0 days 02:28:45.821000,27.0
VER,2.0,HARD,0 days 02:30:11.958000,28.0
VER,2.0,HARD,0 days 02:31:39.193000,29.0
VER,2.0,HARD,0 days 02:33:07.100000,30.0
VER,2.0,HARD,0 days 02:34:35.493000,31.0
GAS,1.0,MEDIUM,0 days 01:22:21.726000,1.0
GAS,1.0,MEDIUM,0 days 01:23:57.849000,2.0
GAS,1.0,MEDIUM,0 days 01:25:26.545000,3.0
GAS,1.0,MEDIUM,0 days 01:26:54.461000,4.0
GAS,1.0,MEDIUM,0 days 01:28:21.933000,5.0
GAS,1.0,MEDIUM,0 days 01:29:49.627000,6.0
GAS,1.0,MEDIUM,0 days 01:31:16.951000,7.0
GAS,1.0,MEDIUM,0 days 01:32:44.161000,8.0
GAS,1.0,MEDIUM,0 days 01:34:11.401000,9.0
GAS,1.0,MEDIUM,0 days 01:35:38.767000,10.0
GAS,2.0,HARD,0 days 01:37:10.801000,4.0
GAS,2.0,HARD,0 days 01:39:00.971000,5.0
GAS,2.0,HARD,0 days 01:40:28.402000,6.0
GAS,2.0,HARD,0 days 01:41:55.770000,7.0
GAS,2.0,HARD,0 days 01:43:23.118000,8.0
GAS,2.0,HARD,0 days 01:44:50.481000,9.0
GAS,2.0,HARD,0 days 01:46:17.569000,10.0
GAS,2.0,HARD,0 days 01:47:44.645000,11.0
GAS,2.0,HARD,0 days 01:49:11.698000,12.0
GAS,2.0,HARD,0 days 01:50:38.834000,13.0
GAS,2.0,HARD,0 days 01:52:05.869000,14.0
GAS,2.0,HARD,0 days 01:53:33.575000,15.0
GAS,2.0,HARD,0 days 01:55:00.794000,16.0
GAS,2.0,HARD,0 days 01:56:28.248000,17.0
GAS,2.0,HARD,0 days 01:57:55.308000,18.0
GAS,2.0,HARD,0 days 01:59:22.531000,19.0
GAS,2.0,HARD,0 days 02:00:50.121000,20.0
GAS,2.0,HARD,0 days 02:02:17.310000,21.0
GAS,2.0,HARD,0 days 02:03:44.831000,22.0
GAS,2.0,HARD,0 days 02:05:12.214000,23.0
GAS,2.0,HARD,0 days 02:06:39.872000,24.0
GAS,3.0,MEDIUM,0 days 02:08:12.076000,1.0
GAS,3.0,MEDIUM,0 days 02:09:58.796000,2.0
GAS,3.0,MEDIUM,0 days 02:11:25.235000,3.0
GAS,3.0,MEDIUM,0 days 02:12:52.112000,4.0
GAS,3.0,MEDIUM,0 days 02:14:19.015000,5.0
GAS,3.0,MEDIUM,0 days 02:15:45.812000,6.0
GAS,3.0,MEDIUM,0 days 02:17:12.311000,7.0
GAS,3.0,MEDIUM,0 days 02:18:38.668000,8.0
GAS,3.0,MEDIUM,0 days 02:20:05.404000,9.0
GAS,3.0,MEDIUM,0 days 02:21:31.952000,10.0
GAS,3.0,MEDIUM,0 days 02:22:58.298000,11.0
GAS,3.0,MEDIUM,0 days 02:24:24.723000,12.0
GAS,3.0,MEDIUM,0 days 02:25:50.644000,13.0
GAS,3.0,MEDIUM,0 days 02:27:16.402000,14.0
GAS,3.0,MEDIUM,0 days 02:28:42.699000,15.0
GAS,3.0,MEDIUM,0 days 02:30:08.991000,16.0
GAS,3.0,MEDIUM,0 days 02:31:35.135000,17.0
GAS,3.0,MEDIUM,0 days 02:33:01.423000,18.0
GAS,3.0,MEDIUM,0 days 02:34:29.336000,19.0
GAS,3.0,MEDIUM,0 days 02:35:56.711000,20.0
PER,1.0,MEDIUM,0 days 01:22:21.726000,1.0
PER,1.0,MEDIUM,0 days 01:23:51.681000,2.0
PER,1.0,MEDIUM,0 days 01:25:18.562000,3.0
PER,1.0,MEDIUM,0 days 01:26:44.705000,4.0
PER,1.0,MEDIUM,0 days 01:28:10.724000,5.0
PER,1.0,MEDIUM,0 days 01:29:37.078000,6.0
PER,1.0,MEDIUM,0 days 01:31:03.543000,7.0
PER,1.0,MEDIUM,0 days 01:32:29.876000,8.0
PER,1.0,MEDIUM,0 days 01:33:56.763000,9.0
PER,1.0,MEDIUM,0 days 01:35:23.327000,10.0
PER,1.0,MEDIUM,0 days 01:36:49.781000,11.0
PER,1.0,MEDIUM,0 days 01:38:17.026000,12.0
PER,1.0,MEDIUM,0 days 01:39:43.994000,13.0
PER,1.0,MEDIUM,0 days 01:41:11.008000,14.0
PER,1.0,MEDIUM,0 days 01:42:38.459000,15.0
PER,1.0,MEDIUM,0 days 01:44:05.238000,16.0
PER,1.0,MEDIUM,0 days 01:45:32.061000,17.0
PER,1.0,MEDIUM,0 days 01:46:59.072000,18.0
PER,1.0,MEDIUM,0 days 01:48:25.837000,19.0
PER,1.0,MEDIUM,0 days 01:49:52.506000,20.0
PER,1.0,MEDIUM,0 days 01:51:19.015000,21.0
PER,2.0,HARD,0 days 01:52:49.949000,1.0
PER,2.0,HARD,0 days 01:54:35.177000,2.0
PER,2.0,HARD,0 days 01:56:00.741000,3.0
PER,2.0,HARD,0 days 01:57:26.500000,4.0
PER,2.0,HARD,0 days 01:58:52.505000,5.0
PER,2.0,HARD,0 days 02:00:18.389000,6.0
PER,2.0,HARD,0 days 02:01:44.845000,7.0
PER,2.0,HARD,0 days 02:03:10.429000,8.0
PER,2.0,HARD,0 days 02:04:36.035000,9.0
PER,2.0,HARD,0 days 02:06:01.792000,10.0
PER,2.0,HARD,0 days 02:07:28.207000,11.0
PER,2.0,HARD,0 days 02:08:54.087000,12.0
PER,2.0,HARD,0 days 02:10:20.107000,13.0
PER,2.0,HARD,0 days 02:11:46.055000,14.0
PER,2.0,HARD,0 days 02:13:11.706000,15.0
PER,2.0,HARD,0 days 02:14:37.333000,16.0
PER,2.0,HARD,0 days 02:16:03.090000,17.0
PER,2.0,HARD,0 days 02:17:28.674000,18.0
PER,2.0,HARD,0 days 02:18:54.196000,19.0
PER,2.0,HARD,0 days 02:20:19.822000,20.0
PER,2.0,HARD,0 days 02:21:46.541000,21.0
PER,2.0,HARD,0 days 02:23:13.080000,22.0
PER,2.0,HARD,0 days 02:24:39.704000,23.0
PER,2.0,HARD,0 days 02:26:06.033000,24.0
PER,2.0,HARD,0 days 02:27:32.606000,25.0
PER,2.0,HARD,0 days 02:28:58.204000,26.0
PER,2.0,HARD,0 days 02:30:24.680000,27.0
PER,2.0,HARD,0 days 02:31:50.788000,28.0
PER,2.0,HARD,0 days 02:33:16.794000,29.0
PER,2.0,HARD,0 days 02:34:43.179000,30.0
ALO,1.0,MEDIUM,0 days 01:22:21.726000,1.0
ALO,1.0,MEDIUM,0 days 01:23:55.215000,2.0
ALO,1.0,MEDIUM,0 days 01:25:23.227000,3.0
ALO,1.0,MEDIUM,0 days 01:26:50.773000,4.0
ALO,1.0,MEDIUM,0 days 01:28:17.994000,5.0
ALO,1.0,MEDIUM,0 days 01:29:45.027000,6.0
ALO,1.0,MEDIUM,0 days 01:31:12.202000,7.0
ALO,1.0,MEDIUM,0 days 01:32:39.131000,8.0
ALO,1.0,MEDIUM,0 days 01:34:06.074000,9.0
ALO,1.0,MEDIUM,0 days 01:35:33.457000,10.0
ALO,1.0,MEDIUM,0 days 01:37:00.825000,11.0
ALO,1.0,MEDIUM,0 days 01:38:28.168000,12.0
ALO,1.0,MEDIUM,0 days 01:39:55.507000,13.0
ALO,1.0,MEDIUM,0 days 01:41:22.665000,14.0
ALO,1.0,MEDIUM,0 days 01:42:50.272000,15.0
ALO,1.0,MEDIUM,0 days 01:44:17.201000,16.0
ALO,1.0,MEDIUM,0 days 01:45:44.365000,17.0
ALO,1.0,MEDIUM,0 days 01:47:11.521000,18.0
ALO,1.0,MEDIUM,0 days 01:48:38.796000,19.0
ALO,1.0,MEDIUM,0 days 01:50:06.114000,20.0
ALO,1.0,MEDIUM,0 days 01:51:34.398000,21.0
ALO,2.0,HARD,0 days 01:53:06.775000,4.0
ALO,2.0,HARD,0 days 01:54:54.047000,5.0
ALO,2.0,HARD,0 days 01:56:20.896000,6.0
ALO,2.0,HARD,0 days 01:57:47.845000,7.0
ALO,2.0,HARD,0 days 01:59:14.744000,8.0
ALO,2.0,HARD,0 days 02:00:41.536000,9.0
ALO,2.0,HARD,0 days 02:02:08.202000,10.0
ALO,2.0,HARD,0 days 02:03:34.925000,11.0
ALO,2.0,HARD,0 days 02:05:01.922000,12.0
ALO,2.0,HARD,0 days 02:06:28.837000,13.0
ALO,2.0,HARD,0 days 02:07:55.685000,14.0
ALO,2.0,HARD,0 days 02:09:22.432000,15.0
ALO,2.0,HARD,0 days 02:10:49.201000,16.0
ALO,2.0,HARD,0 days 02:12:15.764000,17.0
ALO,2.0,HARD,0 days 02:13:42.281000,18.0
ALO,2.0,HARD,0 days 02:15:08.738000,19.0
ALO,2.0,HARD,0 days 02:16:35.118000,20.0
ALO,2.0,HARD,0 days 02:18:01.692000,21.0
ALO,2.0,HARD,0 days 02:19:28.399000,22.0
ALO,2.0,HARD,0 days 02:20:55.009000,23.0
ALO,2.0,HARD,0 days 02:22:21.824000,24.0
ALO,2.0,HARD,0 days 02:23:48.227000,25.0
ALO,2.0,HARD,0 days 02:25:14.332000,26.0
ALO,2.0,HARD,0 days 02:26:40.487000,27.0
ALO,2.0,HARD,0 days 02:28:06.764000,28.0
ALO,2.0,HARD,0 days 02:29:33.217000,29.0
ALO,2.0,HARD,0 days 02:31:00.129000,30.0
ALO,2.0,HARD,0 days 02:32:27.312000,31.0
ALO,2.0,HARD,0 days 02:33:54.557000,32.0
ALO,2.0,HARD,0 days 02:35:21.917000,33.0
LEC,1.0,MEDIUM,0 days 01:22:21.726000,1.0
LEC,1.0,MEDIUM,0 days 01:23:50.630000,2.0
LEC,1.0,MEDIUM,0 days 01:25:16.942000,3.0
LEC,1.0,MEDIUM,0 days 01:26:42.661000,4.0
LEC,1.0,MEDIUM,0 days 01:28:08.686000,5.0
LEC,1.0,MEDIUM,0 days 01:29:34.952000,6.0
LEC,1.0,MEDIUM,0 days 01:31:01.435000,7.0
LEC,1.0,MEDIUM,0 days 01:32:27.908000,8.0
LEC,1.0,MEDIUM,0 days 01:33:53.880000,9.0
LEC,1.0,MEDIUM,0 days 01:35:20.558000,10.0
LEC,1.0,MEDIUM,0 days 01:36:47.345000,11.0
LEC,1.0,MEDIUM,0 days 01:38:14.183000,12.0
LEC,1.0,MEDIUM,0 days 01:39:40.877000,13.0
LEC,1.0,MEDIUM,0 days 01:41:07.434000,14.0
LEC,1.0,MEDIUM,0 days 01:42:34.374000,15.0
LEC,1.0,MEDIUM,0 days 01:44:01.688000,16.0
LEC,1.0,MEDIUM,0 days 01:45:28.843000,17.0
LEC,1.0,MEDIUM,0 days 01:46:56.513000,18.0
LEC,1.0,MEDIUM,0 days 01:48:24.011000,19.0
LEC,1.0,MEDIUM,0 days 01:49:51.713000,20.0
LEC,2.0,HARD,0 days 01:51:22.868000,1.0
LEC,2.0,HARD,0 days 01:53:08.710000,2.0
LEC,2.0,HARD,0 days 01:54:34.452000,3.0
