Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
VER,0 days 00:02:00.179000,,0 days 00:00:49.276000,0 days 00:00:35.061000,MEDIUM,1.0,,
VER,,0 days 00:01:05.251000,0 days 00:01:08.600000,0 days 00:00:30.466000,MEDIUM,2.0,,
VER,,0 days 00:01:08.931000,0 days 00:01:08.363000,0 days 00:00:28.070000,MEDIUM,3.0,,
VER,,0 days 00:01:00.867000,0 days 00:01:06.499000,0 days 00:00:48.366000,MEDIUM,4.0,,
VER,0 days 00:01:36.748000,0 days 00:00:34.900000,0 days 00:00:42.960000,0 days 00:00:18.888000,MEDIUM,5.0,,
VER,0 days 00:01:37.837000,0 days 00:00:35.176000,0 days 00:00:43.659000,0 days 00:00:19.002000,MEDIUM,6.0,,
VER,0 days 00:01:38.033000,0 days 00:00:35.395000,0 days 00:00:43.518000,0 days 00:00:19.120000,MEDIUM,7.0,,
VER,0 days 00:01:38.148000,0 days 00:00:35.547000,0 days 00:00:43.697000,0 days 00:00:18.904000,MEDIUM,8.0,,
VER,0 days 00:01:38.241000,0 days 00:00:35.535000,0 days 00:00:43.764000,0 days 00:00:18.942000,MEDIUM,9.0,,
VER,0 days 00:01:38.301000,0 days 00:00:35.544000,0 days 00:00:43.760000,0 days 00:00:18.997000,MEDIUM,10.0,,
VER,0 days 00:01:38.519000,0 days 00:00:35.704000,0 days 00:00:43.810000,0 days 00:00:19.005000,MEDIUM,11.0,,
VER,0 days 00:01:38.651000,0 days 00:00:35.709000,0 days 00:00:43.950000,0 days 00:00:18.992000,MEDIUM,12.0,,
VER,0 days 00:01:38.689000,0 days 00:00:35.715000,0 days 00:00:43.930000,0 days 00:00:19.044000,MEDIUM,13.0,,
VER,0 days 00:01:59.754000,0 days 00:00:43.967000,0 days 00:00:56.351000,0 days 00:00:19.436000,MEDIUM,14.0,,
VER,0 days 00:01:38.373000,0 days 00:00:35.566000,0 days 00:00:43.781000,0 days 00:00:19.026000,MEDIUM,15.0,,
VER,0 days 00:01:41.172000,0 days 00:00:35.811000,0 days 00:00:43.803000,0 days 00:00:21.558000,MEDIUM,16.0,,0 days 01:33:30.843000
VER,0 days 00:01:58.025000,0 days 00:00:55.875000,0 days 00:00:43.296000,0 days 00:00:18.854000,MEDIUM,1.0,0 days 01:33:55.140000,
VER,0 days 00:01:37.399000,0 days 00:00:35.205000,0 days 00:00:43.259000,0 days 00:00:18.935000,MEDIUM,2.0,,
