driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
VER,Red Bull Racing,1.0,1.0,26.0,Finished,,
NOR,McLaren,3.0,2.0,18.0,Finished,,
PIA,McLaren,2.0,3.0,15.0,Finished,,
LEC,Ferrari,4.0,4.0,12.0,Finished,,
HAM,Mercedes,7.0,5.0,10.0,Finished,,
SAI,Ferrari,6.0,6.0,8.0,Finished,,
RUS,Mercedes,8.0,7.0,6.0,Finished,,
ALO,Aston Martin,10.0,8.0,4.0,Finished,,
OCO,Alpine,14.0,9.0,2.0,Finished,,
GAS,Alpine,12.0,10.0,1.0,Finished,,
LAW,AlphaTauri,11.0,11.0,0.0,Lapped,,
TSU,AlphaTauri,9.0,12.0,0.0,Lapped,,
ZHO,Alfa Romeo,19.0,13.0,0.0,Lapped,,
HUL,Haas F1 Team,18.0,14.0,0.0,Lapped,,
MAG,Haas F1 Team,15.0,15.0,0.0,Lapped,,
ALB,Williams,13.0,16.0,0.0,Retired,,
SAR,Williams,20.0,17.0,0.0,Retired,,
STR,Aston Martin,17.0,18.0,0.0,Retired,,
PER,Red Bull Racing,5.0,19.0,0.0,Retired,,
BOT,Alfa Romeo,16.0,20.0,0.0,Retired,,
