Driver,Stint,Compound,LapStartTime,TyreLife
VER,1.0,MEDIUM,0 days 01:03:03.844000,1.0
VER,1.0,MEDIUM,0 days 01:05:04.229000,2.0
VER,1.0,MEDIUM,0 days 01:07:48.591000,3.0
VER,1.0,MEDIUM,0 days 01:10:33.919000,4.0
VER,1.0,MEDIUM,0 days 01:13:29.577000,5.0
VER,1.0,MEDIUM,0 days 01:15:06.325000,6.0
VER,1.0,MEDIUM,0 days 01:16:44.162000,7.0
VER,1.0,MEDIUM,0 days 01:18:22.195000,8.0
VER,1.0,MEDIUM,0 days 01:20:00.343000,9.0
VER,1.0,MEDIUM,0 days 01:21:38.584000,10.0
VER,1.0,MEDIUM,0 days 01:23:16.885000,11.0
VER,1.0,MEDIUM,0 days 01:24:55.404000,12.0
VER,1.0,MEDIUM,0 days 01:26:34.055000,13.0
VER,1.0,MEDIUM,0 days 01:28:12.744000,14.0
VER,1.0,MEDIUM,0 days 01:30:12.498000,15.0
VER,1.0,MEDIUM,0 days 01:31:50.871000,16.0
VER,2.0,MEDIUM,0 days 01:33:32.043000,1.0
VER,2.0,MEDIUM,0 days 01:35:30.068000,2.0
VER,2.0,MEDIUM,0 days 01:37:07.467000,3.0
VER,2.0,MEDIUM,0 days 01:38:45.236000,4.0
VER,2.0,MEDIUM,0 days 01:40:22.580000,5.0
VER,2.0,MEDIUM,0 days 01:42:00.145000,6.0
VER,2.0,MEDIUM,0 days 01:43:37.737000,7.0
VER,2.0,MEDIUM,0 days 01:45:15.459000,8.0
VER,2.0,MEDIUM,0 days 01:46:53.173000,9.0
VER,2.0,MEDIUM,0 days 01:48:31.119000,10.0
VER,2.0,MEDIUM,0 days 01:50:09.022000,11.0
VER,2.0,MEDIUM,0 days 01:51:46.887000,12.0
VER,2.0,MEDIUM,0 days 01:53:24.445000,13.0
VER,2.0,MEDIUM,0 days 01:55:01.869000,14.0
VER,2.0,MEDIUM,0 days 01:56:39.468000,15.0
VER,2.0,MEDIUM,0 days 01:58:17.067000,16.0
VER,2.0,MEDIUM,0 days 01:59:54.987000,17.0
VER,2.0,MEDIUM,0 days 02:01:32.642000,18.0
VER,2.0,MEDIUM,0 days 02:03:10.375000,19.0
VER,2.0,MEDIUM,0 days 02:04:48.163000,20.0
VER,2.0,MEDIUM,0 days 02:06:25.983000,21.0
VER,3.0,HARD,0 days 02:08:06.247000,1.0
VER,3.0,HARD,0 days 02:10:02.325000,2.0
VER,3.0,HARD,0 days 02:11:36.508000,3.0
VER,3.0,HARD,0 days 02:13:12.422000,4.0
VER,3.0,HARD,0 days 02:14:47.855000,5.0
VER,3.0,HARD,0 days 02:16:23.103000,6.0
VER,3.0,HARD,0 days 02:17:59.072000,7.0
VER,3.0,HARD,0 days 02:19:34.534000,8.0
VER,3.0,HARD,0 days 02:21:10.449000,9.0
VER,3.0,HARD,0 days 02:22:46.432000,10.0
VER,3.0,HARD,0 days 02:24:22.652000,11.0
VER,3.0,HARD,0 days 02:25:58.850000,12.0
VER,3.0,HARD,0 days 02:27:35.539000,13.0
VER,3.0,HARD,0 days 02:29:12.416000,14.0
VER,3.0,HARD,0 days 02:30:49.056000,15.0
VER,3.0,HARD,0 days 02:32:26.106000,16.0
NOR,1.0,MEDIUM,0 days 01:03:03.844000,1.0
NOR,1.0,MEDIUM,0 days 01:05:07.414000,2.0
NOR,1.0,MEDIUM,0 days 01:07:50.842000,3.0
NOR,1.0,MEDIUM,0 days 01:10:35.862000,4.0
NOR,1.0,MEDIUM,0 days 01:13:30.428000,5.0
NOR,1.0,MEDIUM,0 days 01:15:08.088000,6.0
NOR,1.0,MEDIUM,0 days 01:16:46.246000,7.0
NOR,1.0,MEDIUM,0 days 01:18:24.640000,8.0
NOR,1.0,MEDIUM,0 days 01:20:03.146000,9.0
NOR,1.0,MEDIUM,0 days 01:21:41.724000,10.0
NOR,1.0,MEDIUM,0 days 01:23:20.736000,11.0
NOR,1.0,MEDIUM,0 days 01:24:59.805000,12.0
NOR,1.0,MEDIUM,0 days 01:26:39.018000,13.0
NOR,1.0,MEDIUM,0 days 01:28:18.174000,14.0
NOR,1.0,MEDIUM,0 days 01:30:21.771000,15.0
NOR,1.0,MEDIUM,0 days 01:32:00.878000,16.0
NOR,1.0,MEDIUM,0 days 01:33:40.104000,17.0
NOR,2.0,HARD,0 days 01:35:21.344000,1.0
NOR,2.0,HARD,0 days 01:37:19.467000,2.0
NOR,2.0,HARD,0 days 01:38:56.156000,3.0
NOR,2.0,HARD,0 days 01:40:33.932000,4.0
NOR,2.0,HARD,0 days 01:42:11.485000,5.0
NOR,2.0,HARD,0 days 01:43:49.131000,6.0
NOR,2.0,HARD,0 days 01:45:27.195000,7.0
NOR,2.0,HARD,0 days 01:47:05.332000,8.0
NOR,2.0,HARD,0 days 01:48:43.704000,9.0
NOR,2.0,HARD,0 days 01:50:22.497000,10.0
NOR,2.0,HARD,0 days 01:51:59.899000,11.0
NOR,2.0,HARD,0 days 01:53:37.918000,12.0
