driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
VER,Red Bull Racing,1.0,1.0,25.0,Finished,,
ALO,Aston Martin,2.0,2.0,18.0,Finished,,
OCO,Alpine,3.0,3.0,15.0,Finished,,
HAM,Mercedes,5.0,4.0,13.0,Finished,,
RUS,Mercedes,8.0,5.0,10.0,Finished,,
LEC,Ferrari,6.0,6.0,8.0,Finished,,
GAS,Alpine,7.0,7.0,6.0,Finished,,
SAI,Ferrari,4.0,8.0,4.0,Finished,,
NOR,McLaren,10.0,9.0,2.0,Lapped,,
PIA,McLaren,11.0,10.0,1.0,Lapped,,
BOT,Alfa Romeo,15.0,11.0,0.0,Lapped,,
DEV,AlphaTauri,12.0,12.0,0.0,Lapped,,
ZHO,Alfa Romeo,19.0,13.0,0.0,Lapped,,
ALB,Williams,13.0,14.0,0.0,Lapped,,
TSU,AlphaTauri,9.0,15.0,0.0,Lapped,,
PER,Red Bull Racing,20.0,16.0,0.0,Lapped,,
HUL,Haas F1 Team,18.0,17.0,0.0,Lapped,,
SAR,Williams,16.0,18.0,0.0,Lapped,,
MAG,Haas F1 Team,17.0,19.0,0.0,Finished,,
STR,Aston Martin,14.0,20.0,0.0,Retired,,
