Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
VER,0 days 00:01:24.238000,,0 days 00:00:37.420000,0 days 00:00:21.053000,MEDIUM,1.0,,
VER,0 days 00:01:19.367000,0 days 00:00:20.954000,0 days 00:00:37.366000,0 days 00:00:21.047000,MEDIUM,2.0,,
VER,0 days 00:01:19.074000,0 days 00:00:20.854000,0 days 00:00:37.288000,0 days 00:00:20.932000,MEDIUM,3.0,,
VER,0 days 00:01:18.129000,0 days 00:00:20.835000,0 days 00:00:36.637000,0 days 00:00:20.657000,MEDIUM,4.0,,
VER,0 days 00:01:18.019000,0 days 00:00:20.745000,0 days 00:00:36.734000,0 days 00:00:20.540000,MEDIUM,5.0,,
VER,0 days 00:01:17.640000,0 days 00:00:20.488000,0 days 00:00:36.550000,0 days 00:00:20.602000,MEDIUM,6.0,,
VER,0 days 00:01:17.633000,0 days 00:00:20.483000,0 days 00:00:36.479000,0 days 00:00:20.671000,MEDIUM,7.0,,
VER,0 days 00:01:17.397000,0 days 00:00:20.432000,0 days 00:00:36.457000,0 days 00:00:20.508000,MEDIUM,8.0,,
VER,0 days 00:01:17.031000,0 days 00:00:20.438000,0 days 00:00:36.224000,0 days 00:00:20.369000,MEDIUM,9.0,,
VER,0 days 00:01:17.084000,0 days 00:00:20.452000,0 days 00:00:36.232000,0 days 00:00:20.400000,MEDIUM,10.0,,
VER,0 days 00:01:16.858000,0 days 00:00:20.311000,0 days 00:00:36.150000,0 days 00:00:20.397000,MEDIUM,11.0,,
VER,0 days 00:01:16.993000,0 days 00:00:20.386000,0 days 00:00:36.053000,0 days 00:00:20.554000,MEDIUM,12.0,,
VER,0 days 00:01:17.434000,0 days 00:00:20.811000,0 days 00:00:36.267000,0 days 00:00:20.356000,MEDIUM,13.0,,
VER,0 days 00:01:17.065000,0 days 00:00:20.338000,0 days 00:00:36.223000,0 days 00:00:20.504000,MEDIUM,14.0,,
VER,0 days 00:01:17.079000,0 days 00:00:20.271000,0 days 00:00:36.248000,0 days 00:00:20.560000,MEDIUM,15.0,,
VER,0 days 00:01:16.824000,0 days 00:00:20.269000,0 days 00:00:36.135000,0 days 00:00:20.420000,MEDIUM,16.0,,
VER,0 days 00:01:16.860000,0 days 00:00:20.186000,0 days 00:00:36.210000,0 days 00:00:20.464000,MEDIUM,17.0,,
VER,0 days 00:01:16.712000,0 days 00:00:20.148000,0 days 00:00:36.094000,0 days 00:00:20.470000,MEDIUM,18.0,,
VER,0 days 00:01:16.823000,0 days 00:00:20.223000,0 days 00:00:36.163000,0 days 00:00:20.437000,MEDIUM,19.0,,
VER,0 days 00:01:17.214000,0 days 00:00:20.207000,0 days 00:00:36.333000,0 days 00:00:20.674000,MEDIUM,20.0,,
VER,0 days 00:01:16.803000,0 days 00:00:20.157000,0 days 00:00:36.186000,0 days 00:00:20.460000,MEDIUM,21.0,,
