driver,team,qualifying_position,Q1_time,Q2_time,Q3_time
VER,Red Bull Racing,1.0,0 days 00:01:25.007000,0 days 00:01:24.483000,0 days 00:01:23.778000
RUS,Mercedes,2.0,0 days 00:01:25.334000,0 days 00:01:24.827000,0 days 00:01:24.219000
HAM,Mercedes,3.0,0 days 00:01:26.076000,0 days 00:01:24.381000,0 days 00:01:24.305000
ALO,Aston Martin,4.0,0 days 00:01:25.223000,0 days 00:01:25.241000,0 days 00:01:24.369000
LEC,Ferrari,5.0,0 days 00:01:25.452000,0 days 00:01:25.079000,0 days 00:01:24.424000
PIA,McLaren,6.0,0 days 00:01:25.266000,0 days 00:01:24.724000,0 days 00:01:24.540000
GAS,Alpine,7.0,0 days 00:01:25.566000,0 days 00:01:24.918000,0 days 00:01:24.553000
OCO,Alpine,8.0,0 days 00:01:25.711000,0 days 00:01:24.928000,0 days 00:01:24.763000
BOT,Alfa Romeo,9.0,0 days 00:01:26.038000,0 days 00:01:25.297000,0 days 00:01:25.058000
NOR,McLaren,10.0,0 days 00:01:25.131000,0 days 00:01:24.685000,
TSU,AlphaTauri,11.0,0 days 00:01:26.058000,0 days 00:01:25.301000,
SAI,Ferrari,12.0,0 days 00:01:25.808000,0 days 00:01:25.328000,
PER,Red Bull Racing,13.0,0 days 00:01:25.991000,0 days 00:01:25.462000,
ALB,Williams,14.0,0 days 00:01:26.118000,0 days 00:01:25.707000,
HUL,Haas F1 Team,15.0,0 days 00:01:25.904000,0 days 00:01:25.783000,
SAR,Williams,16.0,0 days 00:01:26.210000,,
STR,Aston Martin,17.0,0 days 00:01:26.345000,,
LAW,AlphaTauri,18.0,0 days 00:01:26.635000,,
MAG,Haas F1 Team,19.0,0 days 00:01:27.046000,,
ZHO,Alfa Romeo,20.0,0 days 00:01:27.432000,,
