Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
VER,0 days 00:01:48.811000,,0 days 00:00:30.570000,0 days 00:00:43.417000,MEDIUM,4.0,,
VER,0 days 00:02:25.603000,0 days 00:00:56.965000,0 days 00:00:45.684000,0 days 00:00:42.954000,MEDIUM,5.0,,
VER,0 days 00:02:25.963000,0 days 00:00:56.379000,0 days 00:00:46.050000,0 days 00:00:43.534000,MEDIUM,6.0,,
VER,,0 days 00:00:50.072000,0 days 00:00:46.453000,0 days 00:00:56.634000,MEDIUM,7.0,,
VER,0 days 00:01:30.273000,0 days 00:00:33.310000,0 days 00:00:30.260000,0 days 00:00:26.703000,MEDIUM,8.0,,
VER,0 days 00:01:29.409000,0 days 00:00:33.139000,0 days 00:00:29.969000,0 days 00:00:26.301000,MEDIUM,9.0,,
VER,0 days 00:01:29.083000,0 days 00:00:32.850000,0 days 00:00:29.847000,0 days 00:00:26.386000,MEDIUM,10.0,,
VER,0 days 00:01:29.362000,0 days 00:00:33.037000,0 days 00:00:29.899000,0 days 00:00:26.426000,MEDIUM,11.0,,
VER,0 days 00:01:29.326000,0 days 00:00:33.034000,0 days 00:00:29.860000,0 days 00:00:26.432000,MEDIUM,12.0,,
VER,0 days 00:01:29.457000,0 days 00:00:33.020000,0 days 00:00:29.859000,0 days 00:00:26.578000,MEDIUM,13.0,,
VER,0 days 00:01:29.357000,0 days 00:00:33.039000,0 days 00:00:29.873000,0 days 00:00:26.445000,MEDIUM,14.0,,
VER,0 days 00:01:29.202000,0 days 00:00:32.949000,0 days 00:00:29.837000,0 days 00:00:26.416000,MEDIUM,15.0,,
VER,0 days 00:01:29.015000,0 days 00:00:32.728000,0 days 00:00:29.829000,0 days 00:00:26.458000,MEDIUM,16.0,,
VER,0 days 00:01:29.123000,0 days 00:00:32.952000,0 days 00:00:29.835000,0 days 00:00:26.336000,MEDIUM,17.0,,
VER,0 days 00:01:28.712000,0 days 00:00:32.868000,0 days 00:00:29.690000,0 days 00:00:26.154000,MEDIUM,18.0,,
