driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
VER,Red Bull Racing,1.0,1.0,26.0,Finished,,
PIA,McLaren,6.0,2.0,18.0,Finished,,
NOR,McLaren,10.0,3.0,15.0,Finished,,
RUS,Mercedes,2.0,4.0,12.0,Finished,,
LEC,Ferrari,5.0,5.0,10.0,Finished,,
ALO,Aston Martin,4.0,6.0,8.0,Finished,,
OCO,Alpine,8.0,7.0,6.0,Finished,,
BOT,Alfa Romeo,9.0,8.0,4.0,Finished,,
ZHO,Alfa Romeo,19.0,9.0,2.0,Finished,,
PER,Red Bull Racing,20.0,10.0,1.0,Finished,,
STR,Aston Martin,16.0,11.0,0.0,Finished,,
GAS,Alpine,7.0,12.0,0.0,Finished,,
ALB,Williams,13.0,13.0,0.0,Finished,,
MAG,Haas F1 Team,18.0,14.0,0.0,Lapped,,
TSU,AlphaTauri,11.0,15.0,0.0,Lapped,,
HUL,Haas F1 Team,14.0,16.0,0.0,Lapped,,
LAW,AlphaTauri,17.0,17.0,0.0,Lapped,,
SAR,Williams,15.0,18.0,0.0,Retired,,
HAM,Mercedes,3.0,19.0,0.0,Retired,,
SAI,Ferrari,12.0,20.0,0.0,Did not start,,
