🏎️ QATAR GRAND PRIX 2023

🏆 Race Results:
1.0. VER (Red Bull Racing) - 26.0 pts - Status: Finished
2.0. PIA (McLaren) - 18.0 pts - Status: Finished
3.0. NOR (McLaren) - 15.0 pts - Status: Finished
4.0. RUS (Mercedes) - 12.0 pts - Status: Finished
5.0. LEC (Ferrari) - 10.0 pts - Status: Finished
6.0. ALO (Aston Martin) - 8.0 pts - Status: Finished
7.0. OCO (Alpine) - 6.0 pts - Status: Finished
8.0. BOT (Alfa Romeo) - 4.0 pts - Status: Finished
9.0. ZHO (Alfa Romeo) - 2.0 pts - Status: Finished
10.0. PER (Red Bull Racing) - 1.0 pts - Status: Finished

🏁 Qualifying Top 5:
1.0. VER (Red Bull Racing) - Q3: 0 days 00:01:23.778000
2.0. RUS (Mercedes) - Q3: 0 days 00:01:24.219000
3.0. HAM (Mercedes) - Q3: 0 days 00:01:24.305000
4.0. ALO (Aston Martin) - Q3: 0 days 00:01:24.369000
5.0. LEC (Ferrari) - Q3: 0 days 00:01:24.424000

🛞 Tire Stints:
Driver Compound  Stint
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER   MEDIUM    2.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER     HARD    3.0
   VER   MEDIUM    4.0
   VER   MEDIUM    4.0
   VER   MEDIUM    4.0
   VER   MEDIUM    4.0
   VER   MEDIUM    4.0
   VER   MEDIUM    4.0
   PIA   MEDIUM    1.0
   PIA   MEDIUM    1.0
   PIA   MEDIUM    1.0
   PIA   MEDIUM    1.0
   PIA   MEDIUM    1.0
   PIA   MEDIUM    1.0
   PIA   MEDIUM    1.0
   PIA   MEDIUM    1.0
   PIA   MEDIUM    1.0
   PIA   MEDIUM    1.0
   PIA   MEDIUM    1.0
   PIA   MEDIUM    1.0
   PIA   MEDIUM    2.0
   PIA   MEDIUM    2.0
   PIA   MEDIUM    2.0
   PIA   MEDIUM    2.0
   PIA   MEDIUM    2.0
   PIA   MEDIUM    2.0
   PIA   MEDIUM    2.0
   PIA   MEDIUM    2.0
