Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
VER,,,0 days 00:00:30.642000,0 days 00:00:43.252000,MEDIUM,1.0,,
VER,0 days 00:02:22.808000,0 days 00:00:47.568000,0 days 00:00:46.782000,0 days 00:00:48.458000,MEDIUM,2.0,,
VER,0 days 00:01:40.212000,0 days 00:00:33.449000,0 days 00:00:30.007000,0 days 00:00:36.756000,MEDIUM,3.0,,
VER,0 days 00:02:18.754000,0 days 00:00:46.449000,0 days 00:00:48.864000,0 days 00:00:43.441000,MEDIUM,4.0,,
VER,0 days 00:02:20.603000,0 days 00:00:48.694000,0 days 00:00:49.306000,0 days 00:00:42.603000,MEDIUM,5.0,,
VER,0 days 00:02:22.506000,0 days 00:00:50.266000,0 days 00:00:47.225000,0 days 00:00:45.015000,MEDIUM,6.0,,
VER,0 days 00:01:29.123000,0 days 00:00:32.863000,0 days 00:00:30.157000,0 days 00:00:26.103000,MEDIUM,7.0,,
VER,0 days 00:01:28.478000,0 days 00:00:32.708000,0 days 00:00:29.741000,0 days 00:00:26.029000,MEDIUM,8.0,,
VER,0 days 00:01:28.506000,0 days 00:00:31.998000,0 days 00:00:30.247000,0 days 00:00:26.261000,MEDIUM,9.0,,
VER,0 days 00:01:27.603000,0 days 00:00:32.072000,0 days 00:00:29.594000,0 days 00:00:25.937000,MEDIUM,10.0,,
VER,0 days 00:01:41.656000,0 days 00:00:32.159000,0 days 00:00:29.609000,0 days 00:00:39.888000,MEDIUM,11.0,,
VER,0 days 00:02:26.638000,0 days 00:00:53.300000,0 days 00:00:48.479000,0 days 00:00:44.859000,MEDIUM,12.0,,
VER,,0 days 00:01:01.431000,0 days 00:00:46.538000,0 days 00:00:44.479000,MEDIUM,13.0,,
VER,0 days 00:02:20.989000,0 days 00:00:49.981000,0 days 00:00:46.198000,0 days 00:00:44.810000,MEDIUM,14.0,,
VER,0 days 00:01:28.918000,0 days 00:00:32.882000,0 days 00:00:29.533000,0 days 00:00:26.503000,MEDIUM,15.0,,
VER,0 days 00:01:25.945000,0 days 00:00:31.783000,0 days 00:00:28.964000,0 days 00:00:25.198000,MEDIUM,16.0,,
VER,0 days 00:01:25.604000,0 days 00:00:31.660000,0 days 00:00:28.855000,0 days 00:00:25.089000,MEDIUM,17.0,,
VER,0 days 00:01:26.008000,0 days 00:00:31.827000,0 days 00:00:29.066000,0 days 00:00:25.115000,MEDIUM,18.0,,
VER,0 days 00:01:26.128000,0 days 00:00:31.796000,0 days 00:00:29.139000,0 days 00:00:25.193000,MEDIUM,19.0,,
GAS,,,0 days 00:00:31.820000,0 days 00:00:50.935000,SOFT,4.0,,
GAS,0 days 00:02:14.132000,0 days 00:00:42.945000,0 days 00:00:45.812000,0 days 00:00:45.375000,SOFT,5.0,,
GAS,0 days 00:01:44.851000,0 days 00:00:33.689000,0 days 00:00:30.719000,0 days 00:00:40.443000,SOFT,6.0,,
GAS,0 days 00:02:18.916000,0 days 00:00:44.815000,0 days 00:00:50.371000,0 days 00:00:43.730000,SOFT,7.0,,
GAS,0 days 00:02:21.522000,0 days 00:00:47.666000,0 days 00:00:49.534000,0 days 00:00:44.322000,SOFT,8.0,,
GAS,0 days 00:02:16.723000,0 days 00:00:47.940000,0 days 00:00:46.930000,0 days 00:00:41.853000,SOFT,9.0,,
GAS,0 days 00:01:30.366000,0 days 00:00:33.454000,0 days 00:00:30.251000,0 days 00:00:26.661000,SOFT,10.0,,
