driver,team,grid_position,finishing_position,points,status,fastest_lap_time,fastest_lap_speed
PIA,McLaren,1.0,1.0,8.0,Finished,,
VER,Red Bull Racing,3.0,2.0,7.0,Finished,,
NOR,McLaren,2.0,3.0,6.0,Finished,,
RUS,Mercedes,4.0,4.0,5.0,Finished,,
HAM,Mercedes,12.0,5.0,4.0,Finished,,
SAI,Ferrari,5.0,6.0,3.0,Finished,,
ALB,Williams,17.0,7.0,2.0,Finished,,
ALO,Aston Martin,9.0,8.0,1.0,Finished,,
GAS,Alpine,11.0,9.0,0.0,Finished,,
BOT,Alfa Romeo,13.0,10.0,0.0,Finished,,
TSU,AlphaTauri,18.0,11.0,0.0,Finished,,
LEC,Ferrari,6.0,12.0,0.0,Finished,,
STR,Aston Martin,16.0,13.0,0.0,Finished,,
MAG,Haas F1 Team,19.0,14.0,0.0,Finished,,
ZHO,Alfa Romeo,15.0,15.0,0.0,Finished,,
HUL,Haas F1 Team,7.0,16.0,0.0,Retired,,
OCO,Alpine,10.0,17.0,0.0,Retired,,
PER,Red Bull Racing,8.0,18.0,0.0,Retired,,
SAR,Williams,20.0,19.0,0.0,Retired,,
LAW,AlphaTauri,14.0,20.0,0.0,Retired,,
