driver,team,qualifying_position,Q1_time,Q2_time,Q3_time
PIA,McLaren,1.0,0 days 00:01:25.979000,0 days 00:01:25.496000,0 days 00:01:24.454000
NOR,McLaren,2.0,0 days 00:01:25.672000,0 days 00:01:24.947000,0 days 00:01:24.536000
VER,Red Bull Racing,3.0,0 days 00:01:25.510000,0 days 00:01:25.199000,0 days 00:01:24.646000
RUS,Mercedes,4.0,0 days 00:01:25.413000,0 days 00:01:25.027000,0 days 00:01:24.841000
SAI,Ferrari,5.0,0 days 00:01:25.872000,0 days 00:01:25.433000,0 days 00:01:25.155000
LEC,Ferrari,6.0,0 days 00:01:26.266000,0 days 00:01:25.367000,0 days 00:01:25.247000
HUL,Haas F1 Team,7.0,0 days 00:01:26.450000,0 days 00:01:25.499000,0 days 00:01:25.320000
PER,Red Bull Racing,8.0,0 days 00:01:26.123000,0 days 00:01:25.143000,0 days 00:01:25.382000
ALO,Aston Martin,9.0,0 days 00:01:25.936000,0 days 00:01:25.344000,
OCO,Alpine,10.0,0 days 00:01:26.072000,0 days 00:01:25.510000,
GAS,Alpine,11.0,0 days 00:01:25.829000,0 days 00:01:25.686000,
HAM,Mercedes,12.0,0 days 00:01:26.424000,0 days 00:01:25.962000,
BOT,Alfa Romeo,13.0,0 days 00:01:26.449000,0 days 00:01:26.236000,
LAW,AlphaTauri,14.0,0 days 00:01:26.202000,0 days 00:01:26.584000,
ZHO,Alfa Romeo,15.0,0 days 00:01:26.669000,,
STR,Aston Martin,16.0,0 days 00:01:26.849000,,
ALB,Williams,17.0,0 days 00:01:26.862000,,
TSU,AlphaTauri,18.0,0 days 00:01:26.926000,,
MAG,Haas F1 Team,19.0,0 days 00:01:27.438000,,
SAR,Williams,20.0,,,
