Driver,Stint,Compound,LapStartTime,TyreLife
VER,1.0,MEDIUM,0 days 01:02:33.771000,4.0
VER,1.0,MEDIUM,0 days 01:04:22.816000,5.0
VER,1.0,MEDIUM,0 days 01:06:48.419000,6.0
VER,1.0,MEDIUM,0 days 01:09:14.382000,7.0
VER,1.0,MEDIUM,0 days 01:11:47.524000,8.0
VER,1.0,MEDIUM,0 days 01:13:17.797000,9.0
VER,1.0,MEDIUM,0 days 01:14:47.206000,10.0
VER,1.0,MEDIUM,0 days 01:16:16.289000,11.0
VER,1.0,MEDIUM,0 days 01:17:45.651000,12.0
VER,1.0,MEDIUM,0 days 01:19:14.977000,13.0
VER,1.0,MEDIUM,0 days 01:20:44.434000,14.0
VER,1.0,MEDIUM,0 days 01:22:13.791000,15.0
VER,1.0,MEDIUM,0 days 01:23:42.993000,16.0
VER,1.0,MEDIUM,0 days 01:25:12.008000,17.0
VER,1.0,MEDIUM,0 days 01:26:41.131000,18.0
VER,1.0,MEDIUM,0 days 01:28:09.843000,19.0
VER,1.0,MEDIUM,0 days 01:29:37.718000,20.0
VER,2.0,MEDIUM,0 days 01:31:09.923000,4.0
VER,2.0,MEDIUM,0 days 01:33:01.697000,5.0
VER,2.0,MEDIUM,0 days 01:34:30.773000,6.0
VER,2.0,MEDIUM,0 days 01:35:59.227000,7.0
VER,2.0,MEDIUM,0 days 01:37:27.333000,8.0
VER,2.0,MEDIUM,0 days 01:38:55.357000,9.0
VER,2.0,MEDIUM,0 days 01:40:23.248000,10.0
VER,2.0,MEDIUM,0 days 01:41:51.062000,11.0
VER,2.0,MEDIUM,0 days 01:43:18.837000,12.0
VER,2.0,MEDIUM,0 days 01:44:46.605000,13.0
VER,2.0,MEDIUM,0 days 01:46:14.411000,14.0
VER,2.0,MEDIUM,0 days 01:47:42.153000,15.0
VER,2.0,MEDIUM,0 days 01:49:09.741000,16.0
VER,2.0,MEDIUM,0 days 01:50:37.256000,17.0
VER,2.0,MEDIUM,0 days 01:52:04.222000,18.0
VER,2.0,MEDIUM,0 days 01:53:30.887000,19.0
VER,2.0,MEDIUM,0 days 01:54:57.509000,20.0
VER,3.0,HARD,0 days 01:56:28.505000,1.0
VER,3.0,HARD,0 days 01:58:18.307000,2.0
VER,3.0,HARD,0 days 01:59:44.562000,3.0
VER,3.0,HARD,0 days 02:01:10.643000,4.0
VER,3.0,HARD,0 days 02:02:36.478000,5.0
VER,3.0,HARD,0 days 02:04:02.293000,6.0
VER,3.0,HARD,0 days 02:05:27.986000,7.0
VER,3.0,HARD,0 days 02:06:53.847000,8.0
VER,3.0,HARD,0 days 02:08:19.674000,9.0
VER,3.0,HARD,0 days 02:09:45.554000,10.0
VER,3.0,HARD,0 days 02:11:11.029000,11.0
VER,3.0,HARD,0 days 02:12:36.650000,12.0
VER,3.0,HARD,0 days 02:14:02.639000,13.0
VER,3.0,HARD,0 days 02:15:28.608000,14.0
VER,3.0,HARD,0 days 02:16:54.824000,15.0
VER,3.0,HARD,0 days 02:18:20.801000,16.0
VER,3.0,HARD,0 days 02:19:46.816000,17.0
VER,4.0,MEDIUM,0 days 02:21:17.535000,1.0
VER,4.0,MEDIUM,0 days 02:23:07.483000,2.0
VER,4.0,MEDIUM,0 days 02:24:32.774000,3.0
VER,4.0,MEDIUM,0 days 02:25:57.811000,4.0
VER,4.0,MEDIUM,0 days 02:27:23.034000,5.0
VER,4.0,MEDIUM,0 days 02:28:47.353000,6.0
PIA,1.0,MEDIUM,0 days 01:02:33.771000,7.0
PIA,1.0,MEDIUM,0 days 01:04:25.664000,8.0
PIA,1.0,MEDIUM,0 days 01:06:49.293000,9.0
PIA,1.0,MEDIUM,0 days 01:09:15.189000,10.0
PIA,1.0,MEDIUM,0 days 01:11:48.589000,11.0
PIA,1.0,MEDIUM,0 days 01:13:19.060000,12.0
PIA,1.0,MEDIUM,0 days 01:14:48.388000,13.0
PIA,1.0,MEDIUM,0 days 01:16:17.944000,14.0
PIA,1.0,MEDIUM,0 days 01:17:47.791000,15.0
PIA,1.0,MEDIUM,0 days 01:19:17.341000,16.0
PIA,1.0,MEDIUM,0 days 01:20:46.863000,17.0
PIA,1.0,MEDIUM,0 days 01:22:16.746000,18.0
PIA,2.0,MEDIUM,0 days 01:23:49.778000,8.0
PIA,2.0,MEDIUM,0 days 01:25:44.205000,9.0
PIA,2.0,MEDIUM,0 days 01:27:14.477000,10.0
PIA,2.0,MEDIUM,0 days 01:28:43.154000,11.0
PIA,2.0,MEDIUM,0 days 01:30:12.254000,12.0
PIA,2.0,MEDIUM,0 days 01:31:41.262000,13.0
PIA,2.0,MEDIUM,0 days 01:33:09.884000,14.0
PIA,2.0,MEDIUM,0 days 01:34:38.472000,15.0
PIA,2.0,MEDIUM,0 days 01:36:06.678000,16.0
PIA,2.0,MEDIUM,0 days 01:37:34.886000,17.0
PIA,2.0,MEDIUM,0 days 01:39:03.176000,18.0
