Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
VER,0 days 00:01:45.222000,,0 days 00:00:31.408000,0 days 00:00:31.152000,MEDIUM,1.0,,
VER,0 days 00:01:37.680000,0 days 00:00:36.595000,0 days 00:00:30.654000,0 days 00:00:30.431000,MEDIUM,2.0,,
VER,0 days 00:01:36.526000,0 days 00:00:36.020000,0 days 00:00:30.417000,0 days 00:00:30.089000,MEDIUM,3.0,,
VER,0 days 00:01:36.503000,0 days 00:00:36.021000,0 days 00:00:30.177000,0 days 00:00:30.305000,MEDIUM,4.0,,
VER,0 days 00:01:35.359000,0 days 00:00:35.096000,0 days 00:00:30.116000,0 days 00:00:30.147000,MEDIUM,5.0,,
VER,0 days 00:01:35.840000,0 days 00:00:35.547000,0 days 00:00:30.100000,0 days 00:00:30.193000,MEDIUM,6.0,,
VER,0 days 00:01:35.687000,0 days 00:00:35.409000,0 days 00:00:30.025000,0 days 00:00:30.253000,MEDIUM,7.0,,
VER,0 days 00:01:35.129000,0 days 00:00:35.091000,0 days 00:00:30.143000,0 days 00:00:29.895000,MEDIUM,8.0,,
VER,0 days 00:01:35.561000,0 days 00:00:35.450000,0 days 00:00:30.017000,0 days 00:00:30.094000,MEDIUM,9.0,,
VER,0 days 00:01:35.443000,0 days 00:00:35.434000,0 days 00:00:30.050000,0 days 00:00:29.959000,MEDIUM,10.0,,
VER,0 days 00:01:35.306000,0 days 00:00:35.387000,0 days 00:00:29.767000,0 days 00:00:30.152000,MEDIUM,11.0,,
VER,0 days 00:01:34.848000,0 days 00:00:34.856000,0 days 00:00:29.984000,0 days 00:00:30.008000,MEDIUM,12.0,,
VER,0 days 00:01:35.183000,0 days 00:00:35.069000,0 days 00:00:29.867000,0 days 00:00:30.247000,MEDIUM,13.0,,
VER,0 days 00:01:34.200000,0 days 00:00:34.609000,0 days 00:00:29.784000,0 days 00:00:29.807000,MEDIUM,14.0,,
VER,0 days 00:01:34.499000,0 days 00:00:34.815000,0 days 00:00:29.832000,0 days 00:00:29.852000,MEDIUM,15.0,,
VER,0 days 00:01:34.443000,0 days 00:00:34.863000,0 days 00:00:29.584000,0 days 00:00:29.996000,MEDIUM,16.0,,
VER,0 days 00:01:33.790000,0 days 00:00:34.315000,0 days 00:00:29.711000,0 days 00:00:29.764000,MEDIUM,17.0,,
VER,0 days 00:02:14.348000,0 days 00:00:48.991000,0 days 00:00:40.059000,0 days 00:00:45.298000,MEDIUM,18.0,,0 days 01:32:15.366000
VER,,0 days 00:01:03.956000,0 days 00:00:47.565000,0 days 00:00:55.738000,HARD,1.0,0 days 01:32:36.225000,
VER,,0 days 00:00:56.723000,0 days 00:00:49.419000,0 days 00:00:50.369000,HARD,2.0,,
VER,0 days 00:01:36.946000,0 days 00:00:36.872000,0 days 00:00:29.989000,0 days 00:00:30.085000,HARD,3.0,,
VER,0 days 00:01:34.973000,0 days 00:00:35.462000,0 days 00:00:29.710000,0 days 00:00:29.801000,HARD,4.0,,
VER,0 days 00:01:34.115000,0 days 00:00:35.197000,0 days 00:00:29.397000,0 days 00:00:29.521000,HARD,5.0,,
VER,0 days 00:01:34.146000,0 days 00:00:34.754000,0 days 00:00:29.349000,0 days 00:00:30.043000,HARD,6.0,,
VER,0 days 00:01:32.933000,0 days 00:00:33.994000,0 days 00:00:29.387000,0 days 00:00:29.552000,HARD,7.0,,
VER,0 days 00:01:32.940000,0 days 00:00:34.131000,0 days 00:00:29.347000,0 days 00:00:29.462000,HARD,8.0,,
VER,0 days 00:01:32.838000,0 days 00:00:34.129000,0 days 00:00:29.235000,0 days 00:00:29.474000,HARD,9.0,,
VER,0 days 00:01:32.869000,0 days 00:00:34.108000,0 days 00:00:29.273000,0 days 00:00:29.488000,HARD,10.0,,
VER,0 days 00:01:32.670000,0 days 00:00:34.023000,0 days 00:00:29.222000,0 days 00:00:29.425000,HARD,11.0,,
VER,0 days 00:01:32.877000,0 days 00:00:34.180000,0 days 00:00:29.228000,0 days 00:00:29.469000,HARD,12.0,,
VER,0 days 00:01:32.382000,0 days 00:00:33.896000,0 days 00:00:29.086000,0 days 00:00:29.400000,HARD,13.0,,
VER,0 days 00:01:32.400000,0 days 00:00:33.879000,0 days 00:00:29.152000,0 days 00:00:29.369000,HARD,14.0,,
VER,0 days 00:01:32.387000,0 days 00:00:33.895000,0 days 00:00:29.164000,0 days 00:00:29.328000,HARD,15.0,,
VER,0 days 00:01:32.341000,0 days 00:00:33.965000,0 days 00:00:29.029000,0 days 00:00:29.347000,HARD,16.0,,
VER,0 days 00:01:32.249000,0 days 00:00:33.736000,0 days 00:00:29.176000,0 days 00:00:29.337000,HARD,17.0,,
VER,0 days 00:01:32.384000,0 days 00:00:33.812000,0 days 00:00:29.204000,0 days 00:00:29.368000,HARD,18.0,,
VER,0 days 00:01:32.496000,0 days 00:00:33.844000,0 days 00:00:29.290000,0 days 00:00:29.362000,HARD,19.0,,
