Driver,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,PitOutTime,PitInTime
VER,0 days 00:01:49.827000,,0 days 00:00:45.712000,0 days 00:00:28.852000,HARD,1.0,,
VER,0 days 00:01:41.596000,0 days 00:00:29.484000,0 days 00:00:43.638000,0 days 00:00:28.474000,HARD,2.0,,
VER,0 days 00:01:41.510000,0 days 00:00:29.192000,0 days 00:00:43.226000,0 days 00:00:29.092000,HARD,3.0,,
VER,0 days 00:01:41.143000,0 days 00:00:29.199000,0 days 00:00:43.338000,0 days 00:00:28.606000,HARD,4.0,,
VER,0 days 00:01:41.308000,0 days 00:00:29.224000,0 days 00:00:43.414000,0 days 00:00:28.670000,HARD,5.0,,
VER,0 days 00:01:41.313000,0 days 00:00:29.280000,0 days 00:00:43.618000,0 days 00:00:28.415000,HARD,6.0,,
VER,0 days 00:01:40.423000,0 days 00:00:29.547000,0 days 00:00:42.619000,0 days 00:00:28.257000,HARD,7.0,,
VER,0 days 00:01:40.177000,0 days 00:00:29.375000,0 days 00:00:42.775000,0 days 00:00:28.027000,HARD,8.0,,
VER,0 days 00:01:40.264000,0 days 00:00:29.366000,0 days 00:00:42.774000,0 days 00:00:28.124000,HARD,9.0,,
VER,0 days 00:01:40.408000,0 days 00:00:29.385000,0 days 00:00:42.904000,0 days 00:00:28.119000,HARD,10.0,,
VER,0 days 00:01:40.423000,0 days 00:00:29.174000,0 days 00:00:43.092000,0 days 00:00:28.157000,HARD,11.0,,
VER,0 days 00:01:40.602000,0 days 00:00:29.376000,0 days 00:00:43.056000,0 days 00:00:28.170000,HARD,12.0,,
VER,0 days 00:01:40.693000,0 days 00:00:29.363000,0 days 00:00:43.118000,0 days 00:00:28.212000,HARD,13.0,,
VER,0 days 00:01:40.633000,0 days 00:00:29.398000,0 days 00:00:43.147000,0 days 00:00:28.088000,HARD,14.0,,
VER,0 days 00:01:40.206000,0 days 00:00:29.350000,0 days 00:00:42.748000,0 days 00:00:28.108000,HARD,15.0,,
VER,0 days 00:01:40.390000,0 days 00:00:29.385000,0 days 00:00:43.003000,0 days 00:00:28.002000,HARD,16.0,,
VER,0 days 00:01:40.481000,0 days 00:00:29.424000,0 days 00:00:42.957000,0 days 00:00:28.100000,HARD,17.0,,
VER,0 days 00:01:40.464000,0 days 00:00:29.297000,0 days 00:00:42.985000,0 days 00:00:28.182000,HARD,18.0,,
VER,0 days 00:01:40.746000,0 days 00:00:29.317000,0 days 00:00:43.302000,0 days 00:00:28.127000,HARD,19.0,,
VER,0 days 00:01:58.294000,0 days 00:00:29.329000,0 days 00:00:51.424000,0 days 00:00:37.541000,HARD,20.0,,
VER,,0 days 00:00:55.545000,0 days 00:01:10.129000,0 days 00:00:46.408000,HARD,21.0,,
VER,0 days 00:02:29.966000,0 days 00:00:43.167000,0 days 00:01:00.916000,0 days 00:00:45.883000,HARD,22.0,,
VER,0 days 00:01:43.346000,0 days 00:00:29.525000,0 days 00:00:44.420000,0 days 00:00:29.401000,HARD,23.0,,
VER,0 days 00:01:41.971000,0 days 00:00:29.646000,0 days 00:00:43.187000,0 days 00:00:29.138000,HARD,24.0,,
