🏎️ SPANISH GRAND PRIX 2023

🏆 Race Results:
1.0. VER (Red Bull Racing) - 26.0 pts - Status: Finished
2.0. HAM (Mercedes) - 18.0 pts - Status: Finished
3.0. RUS (Mercedes) - 15.0 pts - Status: Finished
4.0. PER (Red Bull Racing) - 12.0 pts - Status: Finished
5.0. SAI (Ferrari) - 10.0 pts - Status: Finished
6.0. STR (Aston Martin) - 8.0 pts - Status: Finished
7.0. ALO (Aston Martin) - 6.0 pts - Status: Finished
8.0. OCO (Alpine) - 4.0 pts - Status: Finished
9.0. ZHO (Alfa Romeo) - 2.0 pts - Status: Finished
10.0. GAS (Alpine) - 1.0 pts - Status: Finished

🏁 Qualifying Top 5:
1.0. VER (Red Bull Racing) - Q3: 0 days 00:01:12.272000
2.0. SAI (Ferrari) - Q3: 0 days 00:01:12.734000
3.0. NOR (McLaren) - Q3: 0 days 00:01:12.792000
4.0. GAS (Alpine) - Q3: 0 days 00:01:12.816000
5.0. HAM (Mercedes) - Q3: 0 days 00:01:12.818000

🛞 Tire Stints:
Driver Compound  Stint
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER   MEDIUM    1.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     HARD    2.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   VER     SOFT    3.0
   HAM     SOFT    1.0
   HAM     SOFT    1.0
   HAM     SOFT    1.0
   HAM     SOFT    1.0
   HAM     SOFT    1.0
   HAM     SOFT    1.0
   HAM     SOFT    1.0
   HAM     SOFT    1.0
   HAM     SOFT    1.0
   HAM     SOFT    1.0
   HAM     SOFT    1.0
   HAM     SOFT    1.0
   HAM     SOFT    1.0
   HAM     SOFT    1.0
   HAM     SOFT    1.0
   HAM     SOFT    1.0
   HAM     SOFT    1.0
   HAM     SOFT    1.0
